
OnuIndex            Type        Mode    AuthInfo                State
-------------------------------------------------------------------------------
gpon-onu_1/3/14:1   F670T       sn      SN:HWTCAB5A21A8         ready
gpon-onu_1/3/14:2   F670T       sn      SN:HWTC2771E4AF         ready
gpon-onu_1/3/14:3   F670T       sn      SN:ZTEGC4342094         ready
gpon-onu_1/3/14:4   F670T       sn      SN:ZTEGC4343269         ready
gpon-onu_1/3/14:5   F670T       sn      SN:ZTEGC4342A2F         ready
gpon-onu_1/3/14:6   F670T       sn      SN:ZTEGC43DAC7F         ready
gpon-onu_1/3/14:7   F670T       sn      SN:ZTEGC4B528CE         ready
gpon-onu_1/3/14:8   F670T       sn      SN:ZTEGC4B90D87         ready
gpon-onu_1/3/14:9   F670T       sn      SN:ZTEGC8CC0764         ready
gpon-onu_1/3/14:10  F670T       sn      SN:ZTEGC8E2C041         ready
gpon-onu_1/3/14:11  F670T       sn      SN:ZTEGCE48EF32         ready
gpon-onu_1/3/14:12  F670T       sn      SN:ZTEGC8ED39DF         ready
gpon-onu_1/3/14:13  F670T       sn      SN:ZTEGCF20F673         ready
gpon-onu_1/3/14:14  F670T       sn      SN:ZTEGCF2B4B9A         ready
gpon-onu_1/3/14:15  F670T       sn      SN:CMDCA8DF53CB         ready
gpon-onu_1/3/14:16  F670T       sn      SN:GMEGC2283990         ready
gpon-onu_1/3/14:17  F670T       sn      SN:GMEGC242B970         ready
gpon-onu_1/3/14:18  F670T       sn      SN:HWTC29693AC3         ready
gpon-onu_1/3/14:19  F670T       sn      SN:HWTC27869338         ready
gpon-onu_1/3/14:20  F670T       sn      SN:HWTC298DEEBA         ready
gpon-onu_1/3/14:21  F670T       sn      SN:HWTCBDA04A9D         ready
gpon-onu_1/3/14:22  F670T       sn      SN:HWTCC7EF08A3         ready
gpon-onu_1/3/14:23  F670T       sn      SN:ZTEGC433EAD9         ready
gpon-onu_1/3/14:24  F670T       sn      SN:ZTEGC43429AA         ready
gpon-onu_1/3/14:25  F670T       sn      SN:ZTEGC4465264         ready
gpon-onu_1/3/14:26  F670T       sn      SN:ZTEGC43DAE28         ready
gpon-onu_1/3/14:27  F670T       sn      SN:ZTEGC4405071         ready
gpon-onu_1/3/14:28  F670T       sn      SN:ZTEGC4B871FD         ready
gpon-onu_1/3/14:29  F670T       sn      SN:ZTEGC4B54B35         ready
gpon-onu_1/3/14:30  F670T       sn      SN:ZTEGC4EFCA31         ready
gpon-onu_1/3/14:31  F670T       sn      SN:ZTEGC4EFF745         ready
gpon-onu_1/3/14:32  F670T       sn      SN:ZTEGC8AAE97A         ready
gpon-onu_1/3/14:33  F670T       sn      SN:ZTEGC8EC80AB         ready
gpon-onu_1/3/14:34  F670T       sn      SN:ZTEGCCE007AB         ready
gpon-onu_1/3/14:35  F670T       sn      SN:ZTEGCE48C191         ready
gpon-onu_1/3/14:36  F670T       sn      SN:ZTEGCE48A8E1         ready
gpon-onu_1/3/14:37  F670T       sn      SN:ZTEGCE5862FF         ready
gpon-onu_1/3/14:38  F670T       sn      SN:ZTEGCE58967A         ready
gpon-onu_1/3/14:39  F670T       sn      SN:ZTEGCE809D63         ready
gpon-onu_1/3/14:40  F670T       sn      SN:ZTEGCE8FD098         ready
gpon-onu_1/3/14:41  F670T       sn      SN:ZTEGCF2B2420         ready
gpon-onu_1/3/14:42  F670T       sn      SN:ZTEGD267483D         ready
gpon-onu_1/3/14:43  F670T       sn      SN:ZTEGD4A865AE         ready
gpon-onu_1/3/14:44  F670T       sn      SN:HWTC2975A4A7         ready
gpon-onu_1/3/14:45  F670T       sn      SN:CMDCA8F613DC         ready
gpon-onu_1/3/14:46  F670T       sn      SN:HWTC90FD36A8         ready
gpon-onu_1/3/14:47  F670T       sn      SN:ZTEGC4B89327         ready
gpon-onu_1/3/14:48  F670T       sn      SN:ZTEGC433FBA4         ready
gpon-onu_1/3/14:49  F670T       sn      SN:ZTEGC4E7A05A         ready
gpon-onu_1/3/14:50  F670T       sn      SN:ZTEGC4EC1517         ready
gpon-onu_1/3/14:51  F670T       sn      SN:ZTEGC4ECBD2E         ready
gpon-onu_1/3/14:52  F670T       sn      SN:ZTEGC4EF4AA8         ready
gpon-onu_1/3/14:53  F670T       sn      SN:ZTEGCCE012A7         ready
gpon-onu_1/3/14:54  F670T       sn      SN:ZTEGCCE0DCA2         ready
gpon-onu_1/3/14:55  F670T       sn      SN:ZTEGCCE1C385         ready
gpon-onu_1/3/14:56  F670T       sn      SN:ZTEGCE44B25B         ready
gpon-onu_1/3/14:57  F670T       sn      SN:ZTEGCE494638         ready
gpon-onu_1/3/14:58  F670T       sn      SN:ZTEGCE470CD9         ready
gpon-onu_1/3/14:59  F670T       sn      SN:ZTEGCE495253         ready
gpon-onu_1/3/14:60  F670T       sn      SN:ZTEGCE5893E5         ready
gpon-onu_1/3/14:61  F670T       sn      SN:ZTEGD4A96375         ready
gpon-onu_1/3/14:62  F670T       sn      SN:HWTC4BFCDAA9         ready
gpon-onu_1/3/14:63  F670T       sn      SN:CMDCA8A46023         ready
gpon-onu_1/3/14:64  F670T       sn      SN:CMDCB00A1EE9         ready
gpon-onu_1/3/14:65  F980L       sn      SN:SKYW1A213ECA         ready
gpon-onu_1/3/14:66  F670T       sn      SN:ZTEGC4342536         ready
gpon-onu_1/3/14:67  F670T       sn      SN:ZTEGC43DA7A8         ready
gpon-onu_1/3/14:68  F670T       sn      SN:ZTEGC44039F2         ready
gpon-onu_1/3/14:69  F670T       sn      SN:ZTEGC444C844         ready
gpon-onu_1/3/14:70  F670T       sn      SN:ZTEGC44F6149         ready
gpon-onu_1/3/14:71  F670T       sn      SN:ZTEGC4EC7590         ready
gpon-onu_1/3/14:72  F670T       sn      SN:ZTEGCE587F96         ready
gpon-onu_1/3/14:73  F670T       sn      SN:ZTEGC9C81A3C         ready
gpon-onu_1/3/14:74  F670T       sn      SN:ZTEGC8C278CD         ready
gpon-onu_1/3/14:75  F670T       sn      SN:ZTEGD4A87D3D         ready
gpon-onu_1/3/14:76  F670T       sn      SN:ZTEGCE8F8B65         ready
gpon-onu_1/3/14:77  F670T       sn      SN:ZTEGCE80972A         ready
gpon-onu_1/3/14:78  F670T       sn      SN:ZTEGC4E7625F         ready
gpon-onu_1/3/14:79  F670T       sn      SN:ZTEGD5D922F6         ready
gpon-onu_1/3/14:80  F670T       sn      SN:CMDCA892B5AE         ready
gpon-onu_1/3/14:81  F670T       sn      SN:ZTEGC43DA70E         ready
gpon-onu_1/3/14:82  F670T       sn      SN:ZTEGC444CFDF         ready
ZXAN#
