
OnuIndex               OnlineStatus  OamStatus   RegMac    
--------------------------------------------------------------------
epon-onu_1/5/3:1       Online       complete     28:9E:97:DC:53:D0      
epon-onu_1/5/3:2       Online       complete     30:C5:0F:BD:45:D8      
epon-onu_1/5/3:3       Online       complete     28:68:D2:BF:7B:8D      
epon-onu_1/5/3:4       Online       complete     50:70:97:55:96:D8      
epon-onu_1/5/3:5       Online       complete     5C:64:7A:F5:78:10      
epon-onu_1/5/3:6       Online       complete     90:3F:EA:C8:F7:0F      
epon-onu_1/5/3:7       Online       complete     94:B2:71:96:C6:41      
epon-onu_1/5/3:8       Online       complete     9C:71:3A:6C:03:1C      
epon-onu_1/5/3:9       Online       complete     A4:BD:C4:53:E7:7B      
epon-onu_1/5/3:10      Online       complete     A4:BD:C4:55:EE:D8      
epon-onu_1/5/3:11      Online       complete     CC:B1:82:B6:7D:63      
epon-onu_1/5/3:12      Online       complete     E0:CC:7A:E1:95:8B      
epon-onu_1/5/3:13      Online       complete     B4:E4:6B:8F:02:A7      
epon-onu_1/5/3:14      Online       complete     FC:1B:D1:48:32:32      
epon-onu_1/5/3:15      Online       complete     FC:1B:D1:75:A9:99      
epon-onu_1/5/3:17      Online       complete     08:79:8C:B6:F7:47      
epon-onu_1/5/3:18      Online       complete     08:93:56:31:26:7C      
epon-onu_1/5/3:19      Online       complete     30:C5:0F:D8:72:D2      
epon-onu_1/5/3:20      Power Off    idle         00:00:00:00:00:00      
epon-onu_1/5/3:21      Online       complete     58:25:75:74:7A:7E      
epon-onu_1/5/3:22      Online       complete     68:4A:AE:BC:B0:85      
epon-onu_1/5/3:23      Online       complete     64:5E:10:05:47:3C      
epon-onu_1/5/3:24      Online       complete     94:B2:71:92:42:B5      
epon-onu_1/5/3:25      Online       complete     CC:B1:82:B6:65:AE      
epon-onu_1/5/3:26      Online       complete     F8:6E:EE:C1:13:E2      
epon-onu_1/5/3:27      Online       complete     D4:4F:67:CB:B4:E2      
epon-onu_1/5/3:28      Online       complete     CC:B1:82:B6:6C:B8      
epon-onu_1/5/3:30      Online       complete     A4:16:E7:B8:A0:58      
ONU Number: 27/28      
ZXAN#
