
OnuIndex               OnlineStatus  OamStatus   RegMac    
--------------------------------------------------------------------
epon-onu_1/5/4:1       Online       complete     24:91:BB:74:AF:D5      
epon-onu_1/5/4:2       Online       complete     04:E7:95:F1:C9:4C      
epon-onu_1/5/4:3       Online       complete     08:93:56:08:BB:E5      
epon-onu_1/5/4:4       Online       complete     54:DF:24:4C:36:DF      
epon-onu_1/5/4:5       Online       complete     94:FF:61:EF:2F:BD      
epon-onu_1/5/4:6       Online       complete     B4:E4:6B:64:E8:21      
epon-onu_1/5/4:7       Online       complete     B4:E4:6B:81:CE:C9      
epon-onu_1/5/4:8       Online       complete     B4:E4:6B:8E:52:0D      
epon-onu_1/5/4:9       Online       complete     CC:B1:82:B6:70:A3      
epon-onu_1/5/4:10      Online       complete     D4:46:49:FA:9E:24      
epon-onu_1/5/4:11      Online       complete     DC:21:E2:E1:7A:45      
epon-onu_1/5/4:12      Online       complete     D4:7E:A8:E3:BC:F8      
epon-onu_1/5/4:13      Online       complete     08:93:56:99:DA:E6      
epon-onu_1/5/4:14      Online       complete     08:93:56:A7:5C:49      
epon-onu_1/5/4:15      Online       complete     04:E7:95:DC:B9:5D      
epon-onu_1/5/4:16      Online       complete     24:91:BB:3C:9E:43      
epon-onu_1/5/4:17      Online       complete     24:91:BB:3C:D8:6F      
epon-onu_1/5/4:18      Online       complete     24:91:BB:40:3A:1B      
epon-onu_1/5/4:19      Online       complete     28:68:D2:3A:5B:5C      
epon-onu_1/5/4:20      Online       complete     28:68:D2:94:8F:2C      
epon-onu_1/5/4:21      Online       complete     28:68:D2:BF:7C:15      
epon-onu_1/5/4:22      Online       complete     28:68:D2:BF:90:56      
epon-onu_1/5/4:23      Online       complete     30:C5:0F:76:6C:42      
epon-onu_1/5/4:24      Online       complete     30:C5:0F:A0:D7:AA      
epon-onu_1/5/4:25      Online       complete     30:C5:0F:A0:DD:B5      
epon-onu_1/5/4:26      Online       complete     30:C5:0F:DB:61:9C      
epon-onu_1/5/4:27      Online       complete     44:E9:68:C2:DC:61      
epon-onu_1/5/4:28      Online       complete     54:13:10:25:0C:B7      
epon-onu_1/5/4:29      Online       complete     58:25:75:95:55:2C      
epon-onu_1/5/4:30      Online       complete     68:9F:F0:0C:39:9A      
epon-onu_1/5/4:31      Online       complete     90:17:3F:EA:2A:47      
epon-onu_1/5/4:32      Online       complete     94:25:33:03:5C:C6      
epon-onu_1/5/4:33      Online       complete     A4:7C:C9:0C:D5:E9      
epon-onu_1/5/4:34      Online       complete     A4:BD:C4:F1:07:1A      
epon-onu_1/5/4:35      Online       complete     A4:BD:C4:F8:D7:E4      
epon-onu_1/5/4:36      Online       complete     A8:61:DF:35:52:E1      
epon-onu_1/5/4:37      Online       complete     B0:EC:DD:8B:5B:68      
epon-onu_1/5/4:38      Online       complete     B4:6E:08:F1:C7:F4      
epon-onu_1/5/4:39      Online       complete     B4:E4:6B:69:CD:1A      
epon-onu_1/5/4:40      Online       complete     B4:E4:6B:77:3D:98      
epon-onu_1/5/4:41      Online       complete     B4:E4:6B:86:6D:74      
epon-onu_1/5/4:42      Online       complete     C0:F6:C2:9B:AE:18      
epon-onu_1/5/4:43      Online       complete     CC:B1:82:B6:6B:42      
epon-onu_1/5/4:44      Online       complete     D4:46:49:F9:82:79      
epon-onu_1/5/4:45      Online       complete     D4:46:49:F8:CD:D9      
epon-onu_1/5/4:46      Online       complete     D4:4F:67:E0:31:22      
epon-onu_1/5/4:47      Online       complete     F0:3F:95:26:E3:81      
epon-onu_1/5/4:48      Online       complete     24:91:BB:72:4E:E3      
ONU Number: 48/48      
ZXAN#
