
OnuIndex            Type        Mode    AuthInfo                State
-------------------------------------------------------------------------------
gpon-onu_1/3/8:1    F670T       sn      SN:ZTEGCE486E3B         ready
gpon-onu_1/3/8:2    F670T       sn      SN:CMDCA1088925         ready
gpon-onu_1/3/8:3    F670T       sn      SN:CMDCA8A2965C         ready
gpon-onu_1/3/8:4    F670T       sn      SN:HWTC27670288         ready
gpon-onu_1/3/8:5    F670T       sn      SN:HWTC2767FFF2         ready
gpon-onu_1/3/8:6    F670T       sn      SN:HWTC27760525         ready
gpon-onu_1/3/8:7    F670T       sn      SN:ZTEGC444D378         ready
gpon-onu_1/3/8:8    F670T       sn      SN:ZTEGC433FF50         ready
gpon-onu_1/3/8:9    F670T       sn      SN:ZTEGC4B8C047         ready
gpon-onu_1/3/8:10   F670T       sn      SN:ZTEGC4EE5FA8         ready
gpon-onu_1/3/8:11   F670T       sn      SN:ZTEGC4EFC523         ready
gpon-onu_1/3/8:12   F670T       sn      SN:ZTEGD5D92CAB         ready
gpon-onu_1/3/8:13   F670T       sn      SN:ZTEGD4FC32FC         ready
gpon-onu_1/3/8:14   F670T       sn      SN:CMDCA89EB024         ready
gpon-onu_1/3/8:15   F670T       sn      SN:CMDCA211FBC2         ready
gpon-onu_1/3/8:16   F670T       sn      SN:CMDCB00AC7F3         ready
gpon-onu_1/3/8:17   F670T       sn      SN:CMDCB00AC944         ready
gpon-onu_1/3/8:18   F670T       sn      SN:GMEGC2232770         ready
gpon-onu_1/3/8:19   F670T       sn      SN:HWTC277D067E         ready
gpon-onu_1/3/8:20   F670T       sn      SN:HWTC277EBE8D         ready
gpon-onu_1/3/8:21   F670T       sn      SN:HWTC2782725D         ready
gpon-onu_1/3/8:22   F670T       sn      SN:HWTC2968CB8C         ready
gpon-onu_1/3/8:23   F670T       sn      SN:HWTC2973B717         ready
gpon-onu_1/3/8:24   F670T       sn      SN:HWTC3FA050A3         ready
gpon-onu_1/3/8:25   F980L       sn      SN:SKYW1AA3267B         ready
gpon-onu_1/3/8:26   F670T       sn      SN:HWTC2982F026         ready
gpon-onu_1/3/8:27   F670T       sn      SN:ZTEGC43DB1B0         ready
gpon-onu_1/3/8:28   F670T       sn      SN:ZTEGC4E5FE66         ready
gpon-onu_1/3/8:29   F670T       sn      SN:ZTEGC4EBAA96         ready
gpon-onu_1/3/8:30   F670T       sn      SN:ZTEGC4EBCFCD         ready
gpon-onu_1/3/8:31   F670T       sn      SN:ZTEGCE5833C5         ready
gpon-onu_1/3/8:32   F670T       sn      SN:ZTEGC8C27808         ready
gpon-onu_1/3/8:33   F670T       sn      SN:ZTEGC8C436EB         ready
gpon-onu_1/3/8:34   F670T       sn      SN:ZTEGCCE086B8         ready
gpon-onu_1/3/8:35   F670T       sn      SN:ZTEGC8E2D7CE         ready
gpon-onu_1/3/8:36   F670T       sn      SN:ZTEGCE44B4C3         ready
gpon-onu_1/3/8:37   F670T       sn      SN:ZTEGD44F0D84         ready
gpon-onu_1/3/8:38   F670T       sn      SN:ZTEGD4A86E4F         ready
gpon-onu_1/3/8:39   F670T       sn      SN:FHTT203E1FEC         ready
gpon-onu_1/3/8:40   F670T       sn      SN:GMEGC24A6800         ready
gpon-onu_1/3/8:41   F670T       sn      SN:CMDCA4573F99         ready
gpon-onu_1/3/8:42   F670T       sn      SN:HWTC092371A7         ready
