
OnuIndex            Type        Mode    AuthInfo                State
-------------------------------------------------------------------------------
gpon-onu_1/3/5:1    F670T       sn      SN:HWTC2761F97A         ready
gpon-onu_1/3/5:2    F670T       sn      SN:CMDCA0D72EBC         ready
gpon-onu_1/3/5:3    F670T       sn      SN:HWTC27644BF0         ready
gpon-onu_1/3/5:4    F670T       sn      SN:ZTEGC440ACF5         ready
gpon-onu_1/3/5:5    F670T       sn      SN:ZTEGC433FFAA         ready
gpon-onu_1/3/5:6    F670T       sn      SN:ZTEGC4EA7A45         ready
gpon-onu_1/3/5:7    F670T       sn      SN:ZTEGC8C43C64         ready
gpon-onu_1/3/5:8    F670T       sn      SN:ZTEGCF2B7FCD         ready
gpon-onu_1/3/5:9    F670T       sn      SN:ZTEGCE8FD108         ready
gpon-onu_1/3/5:10   F670T       sn      SN:ZTEGD4A85E5D         ready
gpon-onu_1/3/5:11   F670T       sn      SN:CMDCA85F2B74         ready
gpon-onu_1/3/5:12   F670T       sn      SN:CMDCA859A1B8         ready
gpon-onu_1/3/5:13   F670T       sn      SN:CMDCA4945E1D         ready
gpon-onu_1/3/5:14   F670T       sn      SN:HWTC275FD3AC         ready
gpon-onu_1/3/5:15   F670T       sn      SN:HWTC2789238B         ready
gpon-onu_1/3/5:16   F670T       sn      SN:HWTC29623BB0         ready
gpon-onu_1/3/5:17   F670T       sn      SN:ZTEGC4B4FB6A         ready
gpon-onu_1/3/5:18   F670T       sn      SN:ZTEGC444D640         ready
gpon-onu_1/3/5:19   F670T       sn      SN:ZTEGC4B52A32         ready
gpon-onu_1/3/5:20   F670T       sn      SN:ZTEGC4E77A5F         ready
gpon-onu_1/3/5:21   F670T       sn      SN:ZTEGC4EE9BEB         ready
gpon-onu_1/3/5:22   F670T       sn      SN:ZTEGC4EA85DA         ready
gpon-onu_1/3/5:23   F670T       sn      SN:ZTEGC8C28A0B         ready
gpon-onu_1/3/5:24   F670T       sn      SN:ZTEGCCE0A50D         ready
gpon-onu_1/3/5:25   F670T       sn      SN:ZTEGCE48E4D3         ready
gpon-onu_1/3/5:26   F670T       sn      SN:ZTEGCE4915C2         ready
gpon-onu_1/3/5:27   F670T       sn      SN:ZTEGCF56D1A0         ready
gpon-onu_1/3/5:28   F670T       sn      SN:ZTEGCE58A6A0         ready
gpon-onu_1/3/5:29   F670T       sn      SN:ZTEGCF56E35D         ready
gpon-onu_1/3/5:30   F670T       sn      SN:ZTEGD1013BAE         ready
gpon-onu_1/3/5:31   F670T       sn      SN:HWTC152FD0AA         ready
gpon-onu_1/3/5:32   F670T       sn      SN:HWTC296919E4         ready
gpon-onu_1/3/5:33   F670T       sn      SN:ZTEGC4342A30         ready
gpon-onu_1/3/5:34   F670T       sn      SN:ZTEGC440858A         ready
gpon-onu_1/3/5:35   F670T       sn      SN:ZTEGC440AF84         ready
gpon-onu_1/3/5:36   F670T       sn      SN:ZTEGC4460ABA         ready
gpon-onu_1/3/5:37   F670T       sn      SN:ZTEGC4463530         ready
gpon-onu_1/3/5:38   F670T       sn      SN:ZTEGC44FBB00         ready
gpon-onu_1/3/5:39   F670T       sn      SN:ZTEGC4B529FC         ready
gpon-onu_1/3/5:40   F670T       sn      SN:ZTEGC4B894B1         ready
gpon-onu_1/3/5:41   F670T       sn      SN:ZTEGD44F0D82         ready
gpon-onu_1/3/5:42   F670T       sn      SN:ZTEGCE8F981C         ready
gpon-onu_1/3/5:43   F670T       sn      SN:ZTEGD44F0D83         ready
gpon-onu_1/3/5:44   F670T       sn      SN:HWTC27644726         ready
gpon-onu_1/3/5:45   F670T       sn      SN:HWTC296F0245         ready
gpon-onu_1/3/5:46   F670T       sn      SN:HWTC278B2F4F         ready
gpon-onu_1/3/5:47   F670T       sn      SN:HWTC5512BEAD         ready
gpon-onu_1/3/5:48   F670T       sn      SN:ZTEGC4408418         ready
gpon-onu_1/3/5:49   F670T       sn      SN:ZTEGC4463910         ready
gpon-onu_1/3/5:50   F670T       sn      SN:ZTEGC4B8EC3E         ready
gpon-onu_1/3/5:51   F670T       sn      SN:ZTEGC4EF561F         ready
gpon-onu_1/3/5:52   F670T       sn      SN:ZTEGCE8098A9         ready
ZXAN#
