
OnuIndex            Type        Mode    AuthInfo                State
-------------------------------------------------------------------------------
gpon-onu_1/6/4:1    F670T       sn      SN:HWTC29660F41         ready
gpon-onu_1/6/4:2    F670T       sn      SN:FHTT7A2288E4         ready
gpon-onu_1/6/4:3    F670T       sn      SN:ZTEGC44F9784         ready
gpon-onu_1/6/4:4    F670T       sn      SN:ZTEGC4ECB527         ready
gpon-onu_1/6/4:5    F670T       sn      SN:ZTEGC4EBB471         ready
gpon-onu_1/6/4:6    F670T       sn      SN:ZTEGCCE03EF4         ready
gpon-onu_1/6/4:7    F670T       sn      SN:ZTEGCCE0A8B4         ready
gpon-onu_1/6/4:8    F670T       sn      SN:ZTEGCCE1F7BC         ready
gpon-onu_1/6/4:9    F670T       sn      SN:ZTEGCCE207BD         ready
gpon-onu_1/6/4:10   F670T       sn      SN:ZTEGD4A872E9         ready
gpon-onu_1/6/4:11   F670T       sn      SN:HWTC277416FE         ready
gpon-onu_1/6/4:12   F670T       sn      SN:HWTC276B8324         ready
gpon-onu_1/6/4:13   F670T       sn      SN:HWTC276E56EF         ready
gpon-onu_1/6/4:14   F670T       sn      SN:HWTC27875949         ready
gpon-onu_1/6/4:15   F670T       sn      SN:HWTC277C94BE         ready
gpon-onu_1/6/4:16   F670T       sn      SN:HWTC297FAECF         ready
gpon-onu_1/6/4:17   F670T       sn      SN:HWTC50199CA4         ready
gpon-onu_1/6/4:18   F670T       sn      SN:HWTC6B23929D         ready
gpon-onu_1/6/4:19   F670T       sn      SN:HWTCEF8C58A7         ready
gpon-onu_1/6/4:20   F670T       sn      SN:HWTCF3EB969E         ready
gpon-onu_1/6/4:21   F980L       sn      SN:SKYW1AA85C3F         ready
gpon-onu_1/6/4:22   F670T       sn      SN:ZICG15354631         ready
gpon-onu_1/6/4:23   F670T       sn      SN:ZTEGC43DA62A         ready
gpon-onu_1/6/4:24   F670T       sn      SN:ZTEGC44634DD         ready
gpon-onu_1/6/4:25   F670T       sn      SN:ZTEGC4453D9C         ready
gpon-onu_1/6/4:26   F670T       sn      SN:ZTEGC44639C8         ready
gpon-onu_1/6/4:27   F670T       sn      SN:ZTEGC4EB82E4         ready
gpon-onu_1/6/4:28   F670T       sn      SN:ZTEGC4EC2B25         ready
gpon-onu_1/6/4:29   F670T       sn      SN:ZTEGC8C44728         ready
gpon-onu_1/6/4:30   F670T       sn      SN:ZTEGCE447DA0         ready
gpon-onu_1/6/4:31   F670T       sn      SN:ZTEGCE44D15D         ready
gpon-onu_1/6/4:32   F670T       sn      SN:ZTEGCE80A1A8         ready
gpon-onu_1/6/4:33   F670T       sn      SN:ZTEGCF203606         ready
gpon-onu_1/6/4:34   F670T       sn      SN:ZTEGCF2B6E5C         ready
gpon-onu_1/6/4:35   F670T       sn      SN:ZTEGCF2B74F3         ready
gpon-onu_1/6/4:36   F670T       sn      SN:ZTEGD4A890E6         ready
gpon-onu_1/6/4:37   F670T       sn      SN:GMEGC214C2D8         ready
gpon-onu_1/6/4:38   F670T       sn      SN:CMDCA8A84C59         ready
gpon-onu_1/6/4:39   F670T       sn      SN:CMDCA8E0456A         ready
gpon-onu_1/6/4:40   F670T       sn      SN:HWTC277981E3         ready
gpon-onu_1/6/4:41   F670T       sn      SN:HWTC2775AE27         ready
gpon-onu_1/6/4:42   F670T       sn      SN:HWTC278BF79B         ready
gpon-onu_1/6/4:43   F670T       sn      SN:HWTC27903383         ready
gpon-onu_1/6/4:44   F670T       sn      SN:HWTC372AC5A6         ready
gpon-onu_1/6/4:45   F670T       sn      SN:HWTC4B09FBAC         ready
gpon-onu_1/6/4:46   F670T       sn      SN:HWTC4EE248B2         ready
gpon-onu_1/6/4:47   F670T       sn      SN:HWTC6B11689D         ready
gpon-onu_1/6/4:48   F670T       sn      SN:HWTC505962AF         ready
gpon-onu_1/6/4:49   F670T       sn      SN:HWTC8794CAA7         ready
gpon-onu_1/6/4:50   F670T       sn      SN:HWTCEFECF8A7         ready
gpon-onu_1/6/4:51   F670T       sn      SN:HWTCCCBE39AC         ready
gpon-onu_1/6/4:52   F670T       sn      SN:ZTEGC43DB315         ready
gpon-onu_1/6/4:53   F670T       sn      SN:ZTEGC444B708         ready
gpon-onu_1/6/4:54   F670T       sn      SN:ZTEGC4B526B7         ready
gpon-onu_1/6/4:55   F670T       sn      SN:ZTEGC4E763FD         ready
gpon-onu_1/6/4:56   F670T       sn      SN:ZTEGC8E35FCD         ready
gpon-onu_1/6/4:57   F670T       sn      SN:ZTEGCE48A5B0         ready
gpon-onu_1/6/4:58   F670T       sn      SN:ZTEGCE474D5D         ready
gpon-onu_1/6/4:59   F670T       sn      SN:ZTEGCE80A0CF         ready
gpon-onu_1/6/4:60   F670T       sn      SN:ZTEGCE80ACD6         ready
gpon-onu_1/6/4:61   F670T       sn      SN:ZTEGCF56F09F         ready
gpon-onu_1/6/4:62   F670T       sn      SN:ZTEGD2BCB616         ready
gpon-onu_1/6/4:63   F670T       sn      SN:ZTEGD368F69F         ready
gpon-onu_1/6/4:64   F670T       sn      SN:CMDCB00A4930         ready
gpon-onu_1/6/4:65   F670T       sn      SN:GMEGC2298DA0         ready
gpon-onu_1/6/4:66   F670T       sn      SN:HWTC2684139D         ready
gpon-onu_1/6/4:67   F670T       sn      SN:HWTC0FFB5CAA         ready
gpon-onu_1/6/4:68   F670T       sn      SN:HWTC27711C97         ready
gpon-onu_1/6/4:69   F670T       sn      SN:HWTC2961BF19         ready
gpon-onu_1/6/4:70   F670T       sn      SN:HWTCD00FF6A6         ready
gpon-onu_1/6/4:71   F670T       sn      SN:HWTCA675EEA5         ready
gpon-onu_1/6/4:72   F980L       sn      SN:SKYW1A709D3E         ready
gpon-onu_1/6/4:73   F670T       sn      SN:ZTEGC4ECE41B         ready
gpon-onu_1/6/4:74   F670T       sn      SN:ZTEGC4EEAC89         ready
gpon-onu_1/6/4:75   F670T       sn      SN:ZTEGC4EA3527         ready
gpon-onu_1/6/4:76   F670T       sn      SN:ZTEGC89ED0E6         ready
gpon-onu_1/6/4:77   F670T       sn      SN:ZTEGCE48FE64         ready
