
OnuIndex               OnlineStatus  OamStatus   RegMac    
--------------------------------------------------------------------
epon-onu_1/4/3:1       Online       complete     68:9F:F0:0C:BE:0F      
epon-onu_1/4/3:2       Online       complete     B4:E4:6B:72:DB:3C      
epon-onu_1/4/3:3       Online       complete     78:2E:56:50:AC:36      
epon-onu_1/4/3:4       Online       complete     B4:E4:6B:90:3A:49      
epon-onu_1/4/3:5       Online       complete     00:CF:C0:AB:E6:94      
epon-onu_1/4/3:6       Online       complete     08:93:56:38:57:25      
epon-onu_1/4/3:7       Online       complete     04:E7:95:E7:F6:94      
epon-onu_1/4/3:8       Online       complete     08:93:56:6B:A3:59      
epon-onu_1/4/3:9       Online       complete     08:93:56:76:3C:C6      
epon-onu_1/4/3:10      Offline      idle         00:00:00:00:00:00      
epon-onu_1/4/3:11      Online       complete     14:79:F3:28:EE:68      
epon-onu_1/4/3:12      Online       complete     08:93:56:9B:23:D0      
epon-onu_1/4/3:13      Online       complete     14:AB:02:A2:65:F1      
epon-onu_1/4/3:14      Online       complete     1C:43:63:51:05:74      
epon-onu_1/4/3:15      Online       complete     24:91:BB:3F:31:BE      
epon-onu_1/4/3:16      Online       complete     24:91:BB:75:57:82      
epon-onu_1/4/3:17      Online       complete     24:91:BB:3C:B4:2D      
epon-onu_1/4/3:18      Online       complete     24:91:BB:76:17:F4      
epon-onu_1/4/3:19      Online       complete     24:91:BB:77:DB:62      
epon-onu_1/4/3:20      Online       complete     28:68:D2:96:25:93      
epon-onu_1/4/3:21      Online       complete     28:9E:97:DD:EA:F3      
epon-onu_1/4/3:22      Online       complete     2C:97:B1:7A:CF:39      
epon-onu_1/4/3:23      Online       complete     30:C5:0F:59:39:7B      
epon-onu_1/4/3:24      Online       complete     30:C5:0F:D8:57:10      
epon-onu_1/4/3:25      Online       complete     54:DF:24:3E:C5:4F      
epon-onu_1/4/3:26      Online       complete     54:13:10:25:AE:89      
epon-onu_1/4/3:27      Online       complete     44:E9:68:64:51:39      
epon-onu_1/4/3:28      Online       complete     78:57:73:E8:D3:7C      
epon-onu_1/4/3:29      Online       complete     64:5E:10:10:47:A4      
epon-onu_1/4/3:30      Online       complete     7C:1C:F1:90:80:5F      
epon-onu_1/4/3:31      Online       complete     88:66:39:C0:03:12      
epon-onu_1/4/3:32      Online       complete     90:17:3F:EB:23:A2      
epon-onu_1/4/3:33      Online       complete     94:00:B0:DA:52:29      
epon-onu_1/4/3:34      Online       complete     94:25:33:45:22:4D      
epon-onu_1/4/3:35      Online       complete     94:25:33:B4:7D:4F      
epon-onu_1/4/3:36      Online       complete     A4:BD:C4:D3:DB:80      
epon-onu_1/4/3:37      Online       complete     A4:7C:C9:0C:80:94      
epon-onu_1/4/3:38      Online       complete     A4:BE:2B:2A:C0:B1      
epon-onu_1/4/3:39      Online       complete     B4:6E:08:BE:2F:F4      
epon-onu_1/4/3:40      Online       complete     B4:E4:6B:5C:FE:88      
epon-onu_1/4/3:41      Online       complete     B4:E4:6B:7E:C9:F7      
epon-onu_1/4/3:42      Power Off    idle         00:00:00:00:00:00      
epon-onu_1/4/3:43      Online       complete     B4:E4:6B:89:3C:92      
epon-onu_1/4/3:44      Online       complete     B4:E4:6B:8C:70:44      
epon-onu_1/4/3:45      Online       complete     CC:B1:82:B6:6D:C8      
epon-onu_1/4/3:46      Online       complete     D4:4F:67:E1:2F:9A      
epon-onu_1/4/3:47      Online       complete     C4:B8:B4:25:9F:55      
epon-onu_1/4/3:48      Online       complete     D4:7E:A8:45:AC:ED      
epon-onu_1/4/3:49      Online       complete     F8:6C:E1:5E:5D:A0      
epon-onu_1/4/3:50      Online       complete     F8:6C:E1:6E:4A:A8      
epon-onu_1/4/3:51      Online       complete     F8:6C:E1:84:ED:0F      
epon-onu_1/4/3:52      Online       complete     A4:7C:C9:0C:92:4F      
epon-onu_1/4/3:53      Online       complete     9C:71:3A:88:6C:9D      
epon-onu_1/4/3:54      Online       complete     48:2C:D0:98:B9:5D      
epon-onu_1/4/3:55      Online       complete     90:3F:EA:C8:55:B1      
epon-onu_1/4/3:56      Online       complete     40:EE:DD:A9:0C:7E      
ONU Number: 54/56      
ZXAN#
