
OnuIndex            Type        Mode    AuthInfo                State
-------------------------------------------------------------------------------
gpon-onu_1/6/3:1    F670T       sn      SN:HWTC2789B1C1         ready
gpon-onu_1/6/3:2    F670T       sn      SN:HWTC2766556E         ready
gpon-onu_1/6/3:3    F670T       sn      SN:CMDCB00ADB99         ready
gpon-onu_1/6/3:4    F670T       sn      SN:ZTEGC444BF6A         ready
gpon-onu_1/6/3:5    F670T       sn      SN:ZTEGC4464AF9         ready
gpon-onu_1/6/3:6    F670T       sn      SN:ZTEGC44F80FB         ready
gpon-onu_1/6/3:7    F670T       sn      SN:ZTEGC4ED110D         ready
gpon-onu_1/6/3:8    F670T       sn      SN:ZTEGC4B54B43         ready
gpon-onu_1/6/3:9    F670T       sn      SN:ZTEGC4EFF90D         ready
gpon-onu_1/6/3:10   F670T       sn      SN:ZTEGC8C28E4F         ready
gpon-onu_1/6/3:11   F670T       sn      SN:ZTEGCE46D7B7         ready
gpon-onu_1/6/3:12   F670T       sn      SN:ZTEGC8C43B48         ready
gpon-onu_1/6/3:13   F670T       sn      SN:ZTEGCF2B1035         ready
gpon-onu_1/6/3:14   F670T       sn      SN:ZTEGCF2B3890         ready
gpon-onu_1/6/3:15   F670T       sn      SN:ZTEGD44F0D81         ready
gpon-onu_1/6/3:16   F670T       sn      SN:CMDCB00A62E8         ready
gpon-onu_1/6/3:17   F670T       sn      SN:GMEGC2335660         ready
gpon-onu_1/6/3:18   F670T       sn      SN:HWTC2772FEA6         ready
gpon-onu_1/6/3:19   F670T       sn      SN:HWTC277A97BC         ready
gpon-onu_1/6/3:20   F670T       sn      SN:HWTC2787FE6D         ready
gpon-onu_1/6/3:21   F670T       sn      SN:HWTC29783750         ready
gpon-onu_1/6/3:22   F670T       sn      SN:HWTC5CDD14A8         ready
gpon-onu_1/6/3:23   F670T       sn      SN:ZTEGC4420CF8         ready
gpon-onu_1/6/3:24   F670T       sn      SN:ZTEGC442E182         ready
gpon-onu_1/6/3:25   F670T       sn      SN:ZTEGC44F76B4         ready
gpon-onu_1/6/3:26   F670T       sn      SN:ZTEGC4EBADC9         ready
gpon-onu_1/6/3:27   F670T       sn      SN:ZTEGC8E35825         ready
gpon-onu_1/6/3:28   F670T       sn      SN:ZTEGC4EA495B         ready
gpon-onu_1/6/3:29   F670T       sn      SN:ZTEGCE46E9CD         ready
gpon-onu_1/6/3:30   F670T       sn      SN:ZTEGCE5A9D92         ready
gpon-onu_1/6/3:31   F670T       sn      SN:ZTEGD1012CDD         ready
gpon-onu_1/6/3:32   F670T       sn      SN:CMDCA48CCF31         ready
gpon-onu_1/6/3:33   F670T       sn      SN:CMDCA024B6A5         ready
gpon-onu_1/6/3:34   F670T       sn      SN:HWTC27734FF3         ready
gpon-onu_1/6/3:35   F670T       sn      SN:HWTC29656C5C         ready
gpon-onu_1/6/3:36   F670T       sn      SN:HWTC4BFC09A9         ready
gpon-onu_1/6/3:37   F670T       sn      SN:SKYW1A842501         ready
gpon-onu_1/6/3:38   F670T       sn      SN:ZTEGC4EA3BDF         ready
gpon-onu_1/6/3:39   F670T       sn      SN:ZTEGC4EA3CFE         ready
gpon-onu_1/6/3:40   F670T       sn      SN:ZTEGC4ED00C7         ready
gpon-onu_1/6/3:41   F670T       sn      SN:ZTEGC8E2C172         ready
gpon-onu_1/6/3:42   F670T       sn      SN:ZTEGC8E340C5         ready
gpon-onu_1/6/3:43   F670T       sn      SN:ZTEGCE470C5D         ready
gpon-onu_1/6/3:44   F670T       sn      SN:ZTEGCE44769D         ready
gpon-onu_1/6/3:45   F670T       sn      SN:ZTEGCE48D7A2         ready
gpon-onu_1/6/3:46   F670T       sn      SN:ZTEGCE80A401         ready
gpon-onu_1/6/3:47   F670T       sn      SN:ZTEGCF20571F         ready
gpon-onu_1/6/3:48   F670T       sn      SN:ZTEGCF2B2E3F         ready
gpon-onu_1/6/3:49   F670T       sn      SN:ZTEGCF2B30D6         ready
gpon-onu_1/6/3:50   F670T       sn      SN:ZTEGC43417BF         ready
gpon-onu_1/6/3:51   F670T       sn      SN:ZTEGC4B52784         ready
gpon-onu_1/6/3:52   F670T       sn      SN:ZTEGCE449F3E         ready
gpon-onu_1/6/3:53   F670T       sn      SN:ZTEGCE587700         ready
gpon-onu_1/6/3:54   F670T       sn      SN:ZTEGC4455C37         ready
gpon-onu_1/6/3:55   F670T       sn      SN:HWTC2980A998         ready
gpon-onu_1/6/3:56   F670T       sn      SN:HWTC2781F34D         ready
gpon-onu_1/6/3:57   F670T       sn      SN:ZTEGC440B9A6         ready
gpon-onu_1/6/3:58   F670T       sn      SN:ZTEGCF2B72C0         ready
ZXAN#
