
OnuIndex               OnlineStatus  OamStatus   RegMac    
--------------------------------------------------------------------
epon-onu_1/5/1:1       Online       complete     30:C5:0F:BC:8F:5C      
epon-onu_1/5/1:2       Online       complete     50:5D:AC:44:F4:94      
epon-onu_1/5/1:3       Online       complete     04:E7:95:DC:3E:FA      
epon-onu_1/5/1:4       Online       complete     54:13:10:26:C1:CA      
epon-onu_1/5/1:5       Online       complete     54:DF:24:36:FC:6A      
epon-onu_1/5/1:6       Online       complete     5C:64:7A:F7:42:33      
epon-onu_1/5/1:7       Online       complete     6C:16:32:8E:70:58      
epon-onu_1/5/1:8       Online       complete     90:3F:EA:C6:57:8F      
epon-onu_1/5/1:9       Online       complete     9C:71:3A:89:6C:C3      
epon-onu_1/5/1:10      Online       complete     A4:BD:C4:55:E3:4A      
epon-onu_1/5/1:11      Online       complete     B4:E4:6B:6D:1D:E8      
epon-onu_1/5/1:12      Online       complete     B4:E4:6B:69:43:78      
epon-onu_1/5/1:13      Online       complete     A4:BD:C4:F8:40:D1      
epon-onu_1/5/1:14      Online       complete     B4:E4:6B:88:A4:49      
epon-onu_1/5/1:15      Online       complete     B8:E3:B1:95:F8:0A      
epon-onu_1/5/1:16      Online       complete     D4:46:49:FA:A5:0C      
epon-onu_1/5/1:17      Online       complete     08:93:56:0C:2A:BB      
epon-onu_1/5/1:18      Online       complete     08:79:8C:E0:C1:84      
epon-onu_1/5/1:19      Online       complete     08:93:56:07:B8:E9      
epon-onu_1/5/1:20      Online       complete     08:93:56:29:9B:54      
epon-onu_1/5/1:21      Online       complete     08:93:56:6D:5A:F5      
epon-onu_1/5/1:22      Online       complete     08:93:56:74:25:DF      
epon-onu_1/5/1:23      Online       complete     08:93:56:76:39:52      
epon-onu_1/5/1:24      Online       complete     08:93:56:77:DF:5B      
epon-onu_1/5/1:25      Online       complete     24:91:BB:3A:1A:DA      
epon-onu_1/5/1:26      Online       complete     24:91:BB:3F:41:26      
epon-onu_1/5/1:27      Online       complete     2C:97:B1:8E:FE:7C      
epon-onu_1/5/1:28      Online       complete     28:68:D2:7F:7A:11      
epon-onu_1/5/1:29      Online       complete     24:91:BB:71:C1:A4      
epon-onu_1/5/1:30      Online       complete     30:C5:0F:78:B9:37      
epon-onu_1/5/1:31      Online       complete     30:E9:8E:4F:67:0B      
epon-onu_1/5/1:32      Online       complete     44:E9:68:C1:FB:A9      
epon-onu_1/5/1:33      Online       complete     48:F8:DB:41:EF:E1      
epon-onu_1/5/1:34      Online       complete     54:13:10:6D:49:AF      
epon-onu_1/5/1:35      Online       complete     5C:64:7A:F7:A5:AD      
epon-onu_1/5/1:36      Online       complete     68:E2:09:24:92:3D      
epon-onu_1/5/1:37      Power Off    idle         00:00:00:00:00:00      
epon-onu_1/5/1:38      Online       complete     A4:7C:C9:0C:82:3D      
epon-onu_1/5/1:39      Online       complete     A4:16:E7:92:0A:27      
epon-onu_1/5/1:40      Online       complete     A4:7C:C9:0C:85:A0      
epon-onu_1/5/1:41      Online       complete     A4:7C:C9:0C:8C:55      
epon-onu_1/5/1:42      Online       complete     A4:7C:C9:12:4A:AD      
epon-onu_1/5/1:43      Online       complete     A4:BD:C4:C0:CD:4E      
epon-onu_1/5/1:44      Online       complete     C0:F6:C2:E6:50:15      
epon-onu_1/5/1:45      Online       complete     D4:46:49:FA:86:3C      
epon-onu_1/5/1:46      Online       complete     D4:46:49:FA:A6:3E      
epon-onu_1/5/1:47      Online       complete     EC:C0:1B:2B:A7:3C      
epon-onu_1/5/1:48      Online       complete     30:C5:0F:98:B8:42      
ONU Number: 47/48      
ZXAN#
