
OnuIndex               OnlineStatus  OamStatus   RegMac    
--------------------------------------------------------------------
epon-onu_1/5/6:1       Online       complete     08:93:56:0C:3A:67      
epon-onu_1/5/6:2       Online       complete     08:79:8C:74:57:FD      
epon-onu_1/5/6:3       Online       complete     04:E7:95:DC:91:63      
epon-onu_1/5/6:4       Online       complete     08:93:56:29:D3:3E      
epon-onu_1/5/6:5       Online       complete     08:93:56:2E:40:43      
epon-onu_1/5/6:6       Online       complete     08:93:56:75:92:82      
epon-onu_1/5/6:7       Online       complete     24:91:BB:3C:DB:B0      
epon-onu_1/5/6:8       Online       complete     24:91:BB:E2:B8:BD      
epon-onu_1/5/6:9       Online       complete     30:C5:0F:D8:72:28      
epon-onu_1/5/6:10      Online       complete     30:C5:0F:DA:03:EA      
epon-onu_1/5/6:11      Online       complete     3C:FB:5C:7E:04:AA      
epon-onu_1/5/6:12      Online       complete     30:C5:0F:E1:17:80      
epon-onu_1/5/6:13      Online       complete     34:58:40:B5:40:D2      
epon-onu_1/5/6:14      Online       complete     44:E9:68:35:F9:5B      
epon-onu_1/5/6:15      Online       complete     44:E9:68:65:CD:44      
epon-onu_1/5/6:16      Online       complete     48:2C:D0:E8:1E:A4      
epon-onu_1/5/6:17      Online       complete     50:8C:F5:95:C1:F8      
epon-onu_1/5/6:18      Online       complete     48:57:02:62:30:EE      
epon-onu_1/5/6:19      Online       complete     54:13:10:26:A2:83      
epon-onu_1/5/6:20      Online       complete     54:DF:24:35:35:28      
epon-onu_1/5/6:21      Online       complete     68:9F:F0:0C:1B:58      
epon-onu_1/5/6:22      Online       complete     64:5E:10:0F:15:71      
epon-onu_1/5/6:23      Online       complete     8C:68:3A:F7:4F:F8      
epon-onu_1/5/6:24      Online       complete     90:16:BA:03:87:CE      
epon-onu_1/5/6:25      Offline      idle         00:00:00:00:00:00      
epon-onu_1/5/6:26      Online       complete     90:3F:EA:8C:C4:FB      
epon-onu_1/5/6:27      Online       complete     90:3F:EA:C7:DB:3D      
epon-onu_1/5/6:28      Online       complete     90:3F:EA:CB:24:24      
epon-onu_1/5/6:29      Online       complete     A4:7C:C9:0C:80:A5      
epon-onu_1/5/6:30      Online       complete     A4:7C:C9:0D:74:E0      
epon-onu_1/5/6:31      Online       complete     A4:BD:C4:52:11:20      
epon-onu_1/5/6:32      Online       complete     A4:BD:C4:D5:47:AC      
epon-onu_1/5/6:33      Online       complete     A4:BD:C4:52:5F:16      
epon-onu_1/5/6:34      Online       complete     B0:EC:DD:8B:44:2A      
epon-onu_1/5/6:35      Online       complete     B4:E4:6B:7E:9C:15      
epon-onu_1/5/6:36      Online       complete     B4:E4:6B:8C:C2:75      
epon-onu_1/5/6:37      Online       complete     D4:46:49:FA:9E:DF      
epon-onu_1/5/6:38      Online       complete     D4:7E:A8:3A:0F:9B      
epon-onu_1/5/6:39      Online       complete     E8:13:6E:9B:22:54      
epon-onu_1/5/6:40      Online       complete     EC:C0:1B:29:88:19      
epon-onu_1/5/6:41      Online       complete     F8:6C:E1:87:F0:85      
epon-onu_1/5/6:42      Online       complete     F4:DE:AF:C4:73:FA      
epon-onu_1/5/6:43      Online       complete     5C:64:7A:E5:83:24      
epon-onu_1/5/6:44      Online       complete     50:5D:AC:90:5C:0A      
epon-onu_1/5/6:45      Online       complete     30:C5:0F:A0:DC:A5      
epon-onu_1/5/6:46      Online       complete     6C:16:32:EF:D0:AA      
epon-onu_1/5/6:47      Online       complete     8C:68:3A:F9:81:55      
epon-onu_1/5/6:48      Online       complete     94:00:B0:32:8C:B9      
epon-onu_1/5/6:49      Online       complete     A4:BD:C4:B5:58:3E      
epon-onu_1/5/6:50      Online       complete     B0:EC:DD:E3:AF:F9      
epon-onu_1/5/6:51      Online       complete     B4:E4:6B:7C:D0:B4      
epon-onu_1/5/6:52      Online       complete     D4:7E:A8:60:3A:5F      
epon-onu_1/5/6:53      Online       complete     04:E7:95:DC:88:06      
epon-onu_1/5/6:54      Online       complete     D4:D5:1B:B4:46:E1      
epon-onu_1/5/6:55      Online       complete     B4:E4:6B:75:58:62      
epon-onu_1/5/6:56      Power Off    idle         00:00:00:00:00:00      
epon-onu_1/5/6:57      Online       complete     64:5E:10:05:4F:56      
ONU Number: 55/57      
ZXAN#
