
OnuIndex            Type        Mode    AuthInfo                State
-------------------------------------------------------------------------------
gpon-onu_1/3/3:1    F670T       sn      SN:CMDCA81602F8         ready
gpon-onu_1/3/3:2    F670T       sn      SN:CMDCA473F7D8         ready
gpon-onu_1/3/3:3    F670T       sn      SN:GMEGC2390F68         ready
gpon-onu_1/3/3:4    F670T       sn      SN:HWTC277952C3         ready
gpon-onu_1/3/3:5    F670T       sn      SN:HWTC2776CE9A         ready
gpon-onu_1/3/3:6    F980L       sn      SN:SKYW1A2E3F4A         ready
gpon-onu_1/3/3:7    F670T       sn      SN:ZTEGC4B85B2D         ready
gpon-onu_1/3/3:8    F670T       sn      SN:ZTEGC4B50505         ready
gpon-onu_1/3/3:9    F670T       sn      SN:ZTEGC4ECED2C         ready
gpon-onu_1/3/3:10   F670T       sn      SN:ZTEGCE44E29B         ready
gpon-onu_1/3/3:11   F670T       sn      SN:ZTEGCF2B8D94         ready
gpon-onu_1/3/3:12   F670T       sn      SN:ZTEGCE583A09         ready
gpon-onu_1/3/3:13   F670T       sn      SN:CMDCA473BDCA         ready
gpon-onu_1/3/3:14   F670T       sn      SN:HWTC276D6C7C         ready
gpon-onu_1/3/3:15   F670T       sn      SN:HWTC2776C9A1         ready
gpon-onu_1/3/3:16   F980L       sn      SN:SKYW1A203DB6         ready
gpon-onu_1/3/3:17   F670T       sn      SN:HWTC277C9BA9         ready
gpon-onu_1/3/3:18   F670T       sn      SN:ZTEGC8C44D61         ready
gpon-onu_1/3/3:19   F670T       sn      SN:ZTEGD4A84B66         ready
gpon-onu_1/3/3:20   F670T       sn      SN:HWTC278B95CB         ready
gpon-onu_1/3/3:21   F670T       sn      SN:HWTC277916F0         ready
ZXAN#
