
OnuIndex            Type        Mode    AuthInfo                State
-------------------------------------------------------------------------------
gpon-onu_1/3/11:1   F670T       sn      SN:GMEGC215B3E0         ready
gpon-onu_1/3/11:2   F670T       sn      SN:SKYW1A0C16F7         ready
gpon-onu_1/3/11:3   F670T       sn      SN:CMDCB00AED89         ready
gpon-onu_1/3/11:4   F670T       sn      SN:GMEGC202E978         ready
gpon-onu_1/3/11:5   F670T       sn      SN:GMEGC24BC0D8         ready
gpon-onu_1/3/11:6   F670T       sn      SN:GMEGC20D54F8         ready
gpon-onu_1/3/11:7   F670T       sn      SN:GMEGC2360498         ready
gpon-onu_1/3/11:8   F670T       sn      SN:HWTC27688C6E         ready
gpon-onu_1/3/11:9   F670T       sn      SN:HWTC277FED28         ready
gpon-onu_1/3/11:10  F670T       sn      SN:HWTC2786306F         ready
gpon-onu_1/3/11:11  F670T       sn      SN:HWTCEFED71A7         ready
gpon-onu_1/3/11:12  F980L       sn      SN:SKYW1A806AC2         ready
gpon-onu_1/3/11:13  F670T       sn      SN:ZTEGC433FC4E         ready
gpon-onu_1/3/11:14  F670T       sn      SN:ZTEGC4B89468         ready
gpon-onu_1/3/11:15  F670T       sn      SN:ZTEGC4B9091B         ready
gpon-onu_1/3/11:16  F670T       sn      SN:ZTEGD2BB2465         ready
gpon-onu_1/3/11:17  F670T       sn      SN:ZTEGC4ECDD1A         ready
gpon-onu_1/3/11:18  F670T       sn      SN:ZTEGD4A865B5         ready
ZXAN#
