
OnuIndex            Type        Mode    AuthInfo                State
-------------------------------------------------------------------------------
gpon-onu_1/3/9:1    F670T       sn      SN:CMDCA84E986D         ready
gpon-onu_1/3/9:2    F670T       sn      SN:ZTEGC43DB423         ready
gpon-onu_1/3/9:3    F670T       sn      SN:CMDCA8249053         ready
gpon-onu_1/3/9:4    F670T       sn      SN:ZTEGC4EA5C72         ready
gpon-onu_1/3/9:5    F670T       sn      SN:ZTEGC4EE708F         ready
gpon-onu_1/3/9:6    F670T       sn      SN:ZTEGCCE0E395         ready
gpon-onu_1/3/9:7    F670T       sn      SN:ZTEGC8E32196         ready
gpon-onu_1/3/9:8    F670T       sn      SN:ZTEGCCE21385         ready
gpon-onu_1/3/9:9    F670T       sn      SN:ZTEGCE48EAA9         ready
gpon-onu_1/3/9:10   F670T       sn      SN:ZTEGCE5845D1         ready
gpon-onu_1/3/9:11   F670T       sn      SN:HWTC27723FAE         ready
gpon-onu_1/3/9:12   F670T       sn      SN:HWTC2968F45D         ready
gpon-onu_1/3/9:13   F670T       sn      SN:HWTCB0C4E1AF         ready
gpon-onu_1/3/9:14   F670T       sn      SN:HWTCCCC94CAC         ready
gpon-onu_1/3/9:15   F670T       sn      SN:ZICGC70C5B37         ready
gpon-onu_1/3/9:16   F670T       sn      SN:ZTEGC4B54F40         ready
gpon-onu_1/3/9:17   F670T       sn      SN:ZTEGC4EC0266         ready
gpon-onu_1/3/9:18   F670T       sn      SN:ZTEGC4EC0FCC         ready
gpon-onu_1/3/9:19   F670T       sn      SN:ZTEGC8E2C24C         ready
gpon-onu_1/3/9:20   F670T       sn      SN:ZTEGCE4742B2         ready
gpon-onu_1/3/9:21   F670T       sn      SN:ZTEGCE80AD49         ready
gpon-onu_1/3/9:22   F670T       sn      SN:ZTEGCE4935E2         ready
gpon-onu_1/3/9:23   F670T       sn      SN:ZTEGCE583A05         ready
gpon-onu_1/3/9:24   F670T       sn      SN:ZTEGC4461073         ready
gpon-onu_1/3/9:25   F670T       sn      SN:ZTEGCCE1EE2C         ready
gpon-onu_1/3/9:26   F670T       sn      SN:ZTEGC4EBEB95         ready
gpon-onu_1/3/9:27   F670T       sn      SN:ZTEGCF2B780D         ready
gpon-onu_1/3/9:28   F670T       sn      SN:ZTEGD2BCBFD8         ready
ZXAN#
