
OnuIndex            Type        Mode    AuthInfo                State
-------------------------------------------------------------------------------
gpon-onu_1/3/10:1   F670T       sn      SN:GMEGC20B9150         ready
gpon-onu_1/3/10:2   F670T       sn      SN:HWTC09605B9D         ready
gpon-onu_1/3/10:3   F670T       sn      SN:HWTC277FD463         ready
gpon-onu_1/3/10:4   F670T       sn      SN:HWTC5BD7479C         ready
gpon-onu_1/3/10:5   F670T       sn      SN:HWTCAAD774B1         ready
gpon-onu_1/3/10:6   F670T       sn      SN:HWTCCD6298A6         ready
gpon-onu_1/3/10:7   F670T       sn      SN:ZTEGC4E5FDBC         ready
gpon-onu_1/3/10:8   F670T       sn      SN:ZTEGC4EC0FC6         ready
gpon-onu_1/3/10:9   F670T       sn      SN:ZTEGC4EF8E57         ready
gpon-onu_1/3/10:10  F670T       sn      SN:ZTEGCCE02EF8         ready
gpon-onu_1/3/10:11  F670T       sn      SN:GMEGC21CDEA0         ready
gpon-onu_1/3/10:12  F670T       sn      SN:CMDCB00A8946         ready
gpon-onu_1/3/10:13  F670T       sn      SN:FHTT22418253         ready
gpon-onu_1/3/10:14  F670T       sn      SN:HWTC27674443         ready
gpon-onu_1/3/10:15  F670T       sn      SN:GMEGC2385E68         ready
gpon-onu_1/3/10:16  F670T       sn      SN:HWTC27690497         ready
gpon-onu_1/3/10:17  F670T       sn      SN:HWTC2776F0D5         ready
gpon-onu_1/3/10:18  F670T       sn      SN:HWTC276D4A41         ready
gpon-onu_1/3/10:19  F670T       sn      SN:HWTC3179D6A0         ready
gpon-onu_1/3/10:20  F670T       sn      SN:HWTC5DDA4BAF         ready
gpon-onu_1/3/10:21  F670T       sn      SN:ZTEGC433EB79         ready
gpon-onu_1/3/10:22  F670T       sn      SN:ZTEGC433DD5D         ready
gpon-onu_1/3/10:23  F980L       sn      SN:SKYW1AE3A465         ready
gpon-onu_1/3/10:24  F670T       sn      SN:ZTEGC434157C         ready
gpon-onu_1/3/10:25  F670T       sn      SN:ZTEGC433F974         ready
gpon-onu_1/3/10:26  F670T       sn      SN:ZTEGC440852F         ready
gpon-onu_1/3/10:27  F670T       sn      SN:ZTEGC4409F3B         ready
gpon-onu_1/3/10:28  F670T       sn      SN:ZTEGC444C7A9         ready
gpon-onu_1/3/10:29  F670T       sn      SN:ZTEGC44F9274         ready
gpon-onu_1/3/10:30  F670T       sn      SN:ZTEGC4EC3E2D         ready
gpon-onu_1/3/10:31  F670T       sn      SN:ZTEGC4EE81D6         ready
gpon-onu_1/3/10:32  F670T       sn      SN:ZTEGC89EC43B         ready
gpon-onu_1/3/10:33  F670T       sn      SN:ZTEGC4EF56E3         ready
gpon-onu_1/3/10:34  F670T       sn      SN:ZTEGC8ED16B5         ready
gpon-onu_1/3/10:35  F670T       sn      SN:ZTEGCCE0D733         ready
gpon-onu_1/3/10:36  F670T       sn      SN:ZTEGCCE1B02D         ready
gpon-onu_1/3/10:37  F670T       sn      SN:ZTEGCE46D697         ready
gpon-onu_1/3/10:38  F670T       sn      SN:ZTEGCE44B734         ready
gpon-onu_1/3/10:39  F670T       sn      SN:ZTEGCE493972         ready
gpon-onu_1/3/10:40  F670T       sn      SN:ZTEGCE5A6850         ready
gpon-onu_1/3/10:41  F670T       sn      SN:ZTEGCE8F9143         ready
gpon-onu_1/3/10:42  F670T       sn      SN:ZTEGCFD66BB6         ready
gpon-onu_1/3/10:43  F670T       sn      SN:ZTEGCE80AC6A         ready
gpon-onu_1/3/10:44  F670T       sn      SN:ZTEGD4A865A5         ready
gpon-onu_1/3/10:45  F670T       sn      SN:GMEGC22B9600         ready
gpon-onu_1/3/10:46  F670T       sn      SN:GMEGC210CF10         ready
gpon-onu_1/3/10:47  F670T       sn      SN:CMDCDD4ED000         ready
gpon-onu_1/3/10:48  F670T       sn      SN:HWTC2769CE67         ready
gpon-onu_1/3/10:49  F670T       sn      SN:HWTC05D75AA4         ready
gpon-onu_1/3/10:50  F670T       sn      SN:HWTC27751FA1         ready
gpon-onu_1/3/10:51  F670T       sn      SN:HWTC278E8DD1         ready
gpon-onu_1/3/10:52  F670T       sn      SN:HWTC4EEEA4B2         ready
gpon-onu_1/3/10:53  F670T       sn      SN:ZTEGC433F44C         ready
gpon-onu_1/3/10:54  F670T       sn      SN:ZTEGC434044B         ready
gpon-onu_1/3/10:55  F670T       sn      SN:ZTEGC4B55D0D         ready
gpon-onu_1/3/10:56  F670T       sn      SN:ZTEGC44F9D06         ready
gpon-onu_1/3/10:57  F670T       sn      SN:ZTEGC4B851B7         ready
gpon-onu_1/3/10:58  F670T       sn      SN:ZTEGC4EA622C         ready
gpon-onu_1/3/10:59  F670T       sn      SN:ZTEGC4B86214         ready
gpon-onu_1/3/10:60  F670T       sn      SN:ZTEGC4B876AC         ready
gpon-onu_1/3/10:61  F670T       sn      SN:ZTEGC4EFD2DB         ready
gpon-onu_1/3/10:62  F670T       sn      SN:ZTEGC4EBBD44         ready
gpon-onu_1/3/10:63  F670T       sn      SN:ZTEGC8EC6750         ready
gpon-onu_1/3/10:64  F670T       sn      SN:ZTEGC8ED3AAF         ready
gpon-onu_1/3/10:65  F670T       sn      SN:ZTEGCE48C6D1         ready
gpon-onu_1/3/10:66  F670T       sn      SN:ZTEGCE490A70         ready
gpon-onu_1/3/10:67  F670T       sn      SN:ZTEGCCE09945         ready
gpon-onu_1/3/10:68  F670T       sn      SN:ZTEGCE4934D8         ready
gpon-onu_1/3/10:69  F670T       sn      SN:ZTEGCE587735         ready
gpon-onu_1/3/10:70  F670T       sn      SN:ZTEGCF20CB44         ready
gpon-onu_1/3/10:71  F670T       sn      SN:ZTEGD6D02A87         ready
gpon-onu_1/3/10:72  F670T       sn      SN:HWTC90D7D6A8         ready
gpon-onu_1/3/10:73  F670T       sn      SN:ZTEGC44206EB         ready
gpon-onu_1/3/10:74  F670T       sn      SN:GMEGC20EC1B8         ready
gpon-onu_1/3/10:75  F670T       sn      SN:ZTEGC4EBE03E         ready
gpon-onu_1/3/10:76  F670T       sn      SN:ZTEGC4B8D25E         ready
gpon-onu_1/3/10:77  F670T       sn      SN:ZTEGC4EF7AB9         ready
gpon-onu_1/3/10:78  F670T       sn      SN:ZTEGCCE0D8B4         ready
gpon-onu_1/3/10:79  F670T       sn      SN:ZTEGCE46D710         ready
gpon-onu_1/3/10:80  F670T       sn      SN:ZTEGCE47506C         ready
gpon-onu_1/3/10:81  F670T       sn      SN:ZTEGCE5A7966         ready
gpon-onu_1/3/10:82  F670T       sn      SN:ZTEGCE809C47         ready
gpon-onu_1/3/10:83  F670T       sn      SN:ZTEGCE809F94         ready
gpon-onu_1/3/10:84  F670T       sn      SN:ZTEGCE80AABC         ready
gpon-onu_1/3/10:85  F670T       sn      SN:ZTEGCE8F78D7         ready
gpon-onu_1/3/10:86  F670T       sn      SN:ZTEGC444B11B         ready
gpon-onu_1/3/10:87  F670T       sn      SN:HWTC275F48AA         ready
gpon-onu_1/3/10:88  F670T       sn      SN:CMDCA897B205         ready
