
OnuIndex               OnlineStatus  OamStatus   RegMac    
--------------------------------------------------------------------
epon-onu_1/5/7:1       Online       complete     20:AB:48:2E:55:3B      
epon-onu_1/5/7:2       Online       complete     08:93:56:29:9A:99      
epon-onu_1/5/7:3       Online       complete     10:C3:AB:B4:8D:D3      
epon-onu_1/5/7:4       Online       complete     90:3F:EA:C4:87:94      
epon-onu_1/5/7:5       Online       complete     94:25:33:02:C7:18      
epon-onu_1/5/7:6       Online       complete     94:FF:61:54:23:CF      
epon-onu_1/5/7:7       Online       complete     94:FF:61:91:D7:97      
epon-onu_1/5/7:8       Online       complete     94:FF:61:D5:33:B1      
epon-onu_1/5/7:9       Online       complete     B4:E4:6B:6F:D9:19      
epon-onu_1/5/7:10      Online       complete     D4:7E:A8:B5:6F:CD      
epon-onu_1/5/7:11      Online       complete     08:79:8C:B8:8D:D1      
epon-onu_1/5/7:12      Online       complete     08:93:56:2D:EC:64      
epon-onu_1/5/7:13      Online       complete     08:93:56:74:DB:07      
epon-onu_1/5/7:14      Online       complete     24:91:BB:3C:3B:C8      
epon-onu_1/5/7:15      Online       complete     24:91:BB:6A:58:ED      
epon-onu_1/5/7:16      Online       complete     24:91:BB:E2:6C:A3      
epon-onu_1/5/7:17      Online       complete     28:9E:97:DD:27:51      
epon-onu_1/5/7:18      Online       complete     30:C5:0F:78:25:FE      
epon-onu_1/5/7:19      Online       complete     30:C5:0F:98:11:94      
epon-onu_1/5/7:20      Online       complete     5C:64:7A:F5:83:E2      
epon-onu_1/5/7:21      Online       complete     5C:64:7A:F5:92:29      
epon-onu_1/5/7:22      Online       complete     30:C5:0F:BC:75:43      
epon-onu_1/5/7:23      Online       complete     5C:64:7A:F5:A0:E7      
epon-onu_1/5/7:24      Online       complete     70:C7:F2:8E:77:38      
epon-onu_1/5/7:25      Online       complete     78:57:73:DC:CC:A5      
epon-onu_1/5/7:26      Online       complete     78:57:73:E5:B8:56      
epon-onu_1/5/7:27      Online       complete     8C:68:3A:F7:6D:FC      
epon-onu_1/5/7:28      Online       complete     90:3F:EA:B7:3C:BF      
epon-onu_1/5/7:29      Online       complete     9A:8C:1A:F4:5C:21      
epon-onu_1/5/7:30      Online       complete     AC:8D:34:11:BE:7E      
epon-onu_1/5/7:31      Online       complete     A4:BD:C4:B9:13:D9      
epon-onu_1/5/7:32      Online       complete     A4:BD:C4:D2:EF:D3      
epon-onu_1/5/7:33      Online       complete     B4:E4:6B:64:02:0B      
epon-onu_1/5/7:34      Online       complete     B4:E4:6B:70:FF:3E      
epon-onu_1/5/7:35      Online       complete     B4:E4:6B:73:D0:EE      
epon-onu_1/5/7:36      Online       complete     B4:E4:6B:80:AD:B4      
epon-onu_1/5/7:37      Online       complete     B8:E3:B1:96:0C:C2      
epon-onu_1/5/7:38      Online       complete     B8:E3:B1:96:40:39      
epon-onu_1/5/7:39      Online       complete     C0:FF:A8:BB:7C:33      
epon-onu_1/5/7:40      Online       complete     E0:4B:A6:83:5E:BC      
epon-onu_1/5/7:41      Online       complete     D4:4F:67:C5:37:43      
epon-onu_1/5/7:42      Online       complete     D4:46:49:F9:2B:9D      
epon-onu_1/5/7:43      Online       complete     E4:3E:C6:01:B3:D5      
epon-onu_1/5/7:44      Online       complete     E4:77:27:F9:A8:07      
epon-onu_1/5/7:45      Online       complete     E4:77:27:F9:B2:85      
epon-onu_1/5/7:46      Online       complete     EC:C0:1B:54:78:00      
epon-onu_1/5/7:47      Online       complete     70:8C:B6:15:26:DC      
epon-onu_1/5/7:48      Online       complete     F4:DE:AF:C5:3F:D8      
epon-onu_1/5/7:49      Online       complete     CC:B1:82:B5:9D:AA      
epon-onu_1/5/7:50      Online       complete     2C:55:D3:22:A7:31      
ONU Number: 50/50      
ZXAN#
