
OnuIndex            Type        Mode    AuthInfo                State
-------------------------------------------------------------------------------
gpon-onu_1/3/6:1    F670T       sn      SN:HWTC278FE6D0         ready
gpon-onu_1/3/6:2    F670T       sn      SN:HWTC277AC078         ready
gpon-onu_1/3/6:3    F670T       sn      SN:CMDCA8C13A8B         ready
gpon-onu_1/3/6:4    F670T       sn      SN:HWTC29694E11         ready
gpon-onu_1/3/6:5    F670T       sn      SN:HWTC298085B6         ready
gpon-onu_1/3/6:6    F670T       sn      SN:HWTC29889358         ready
gpon-onu_1/3/6:7    F670T       sn      SN:HWTC4B09F2AC         ready
gpon-onu_1/3/6:8    F670T       sn      SN:ZICGA45A91C9         ready
gpon-onu_1/3/6:9    F670T       sn      SN:ZICG15462E1A         ready
gpon-onu_1/3/6:10   F670T       sn      SN:ZTEGC44FBE33         ready
gpon-onu_1/3/6:11   F670T       sn      SN:ZTEGC4ED1181         ready
gpon-onu_1/3/6:12   F670T       sn      SN:ZTEGC4E739D3         ready
gpon-onu_1/3/6:13   F670T       sn      SN:ZTEGC4ECF48D         ready
gpon-onu_1/3/6:14   F670T       sn      SN:ZTEGC8C44A3B         ready
gpon-onu_1/3/6:15   F670T       sn      SN:ZTEGCCE09E79         ready
gpon-onu_1/3/6:16   F670T       sn      SN:ZTEGCE48F885         ready
gpon-onu_1/3/6:17   F670T       sn      SN:ZTEGCE585F1E         ready
gpon-onu_1/3/6:18   F670T       sn      SN:ZTEGCF56D9D2         ready
gpon-onu_1/3/6:19   F670T       sn      SN:ZTEGCE5869D1         ready
gpon-onu_1/3/6:20   F670T       sn      SN:GMEGC23BDB60         ready
gpon-onu_1/3/6:21   F670T       sn      SN:HWTC276B8D17         ready
gpon-onu_1/3/6:22   F670T       sn      SN:CMDCB00A8BAD         ready
gpon-onu_1/3/6:23   F670T       sn      SN:HWTC277CF362         ready
gpon-onu_1/3/6:24   F670T       sn      SN:HWTC298F83D8         ready
gpon-onu_1/3/6:25   F670T       sn      SN:HWTCA7766BAF         ready
gpon-onu_1/3/6:26   F980L       sn      SN:SKYW1A79AD52         ready
gpon-onu_1/3/6:27   F670T       sn      SN:ZTEGC433BD21         ready
gpon-onu_1/3/6:28   F670T       sn      SN:ZTEGC4462237         ready
gpon-onu_1/3/6:29   F670T       sn      SN:ZTEGC44FBFDD         ready
gpon-onu_1/3/6:30   F670T       sn      SN:ZTEGD2BAFBC4         ready
gpon-onu_1/3/6:31   F670T       sn      SN:ZTEGC4EBC00E         ready
gpon-onu_1/3/6:32   F670T       sn      SN:ZTEGD4A865B3         ready
gpon-onu_1/3/6:33   F670T       sn      SN:HWTC276BEC5C         ready
gpon-onu_1/3/6:34   F670T       sn      SN:CMDCA8F59C3D         ready
gpon-onu_1/3/6:35   F670T       sn      SN:HWTC275D9DBD         ready
gpon-onu_1/3/6:36   F670T       sn      SN:HWTC27808F21         ready
gpon-onu_1/3/6:37   F670T       sn      SN:HWTC278165ED         ready
gpon-onu_1/3/6:38   F670T       sn      SN:HWTC27821C93         ready
gpon-onu_1/3/6:39   F670T       sn      SN:HWTC2782B76B         ready
gpon-onu_1/3/6:40   F670T       sn      SN:HWTC2960B9E4         ready
gpon-onu_1/3/6:41   F670T       sn      SN:HWTC2788681F         ready
gpon-onu_1/3/6:42   F670T       sn      SN:HWTC4EDF43B2         ready
gpon-onu_1/3/6:43   F670T       sn      SN:ZTEGC4341FCD         ready
gpon-onu_1/3/6:44   F670T       sn      SN:ZTEGC9CE1A6A         ready
gpon-onu_1/3/6:45   F670T       sn      SN:ZTEGC4EBFA57         ready
gpon-onu_1/3/6:46   F670T       sn      SN:ZTEGCCE04B47         ready
gpon-onu_1/3/6:47   F670T       sn      SN:ZTEGCF202EEB         ready
gpon-onu_1/3/6:48   F670T       sn      SN:ZTEGCF2B4562         ready
gpon-onu_1/3/6:49   F670T       sn      SN:ZTEGD4A85E84         ready
gpon-onu_1/3/6:50   F670T       sn      SN:ZTEGD5D51076         ready
gpon-onu_1/3/6:51   F670T       sn      SN:GMEGC209FBB0         ready
gpon-onu_1/3/6:52   F670T       sn      SN:CMDCA82A3ED1         ready
gpon-onu_1/3/6:53   F670T       sn      SN:CMDCB00A6586         ready
gpon-onu_1/3/6:54   F670T       sn      SN:HWTC275D1997         ready
gpon-onu_1/3/6:55   F670T       sn      SN:HWTC276EFD7C         ready
gpon-onu_1/3/6:56   F670T       sn      SN:HWTCAB6520A8         ready
gpon-onu_1/3/6:57   F670T       sn      SN:HWTCC14FDD9E         ready
gpon-onu_1/3/6:58   F980L       sn      SN:SKYW1AA6D1C8         ready
gpon-onu_1/3/6:59   F670T       sn      SN:ZTEGC433C508         ready
gpon-onu_1/3/6:60   F670T       sn      SN:ZTEGC444BC3C         ready
gpon-onu_1/3/6:61   F670T       sn      SN:ZTEGC4EEB57D         ready
gpon-onu_1/3/6:62   F670T       sn      SN:ZTEGC4EEBAC0         ready
gpon-onu_1/3/6:63   F670T       sn      SN:ZTEGC4EBE7FE         ready
gpon-onu_1/3/6:64   F670T       sn      SN:ZTEGCE5A3ED4         ready
gpon-onu_1/3/6:65   F670T       sn      SN:ZTEGD19021B9         ready
gpon-onu_1/3/6:66   F670T       sn      SN:ZTEGD44F0D87         ready
gpon-onu_1/3/6:67   F670T       sn      SN:HWTC296356C5         ready
gpon-onu_1/3/6:68   F670T       sn      SN:HWTC278B1184         ready
gpon-onu_1/3/6:69   F670T       sn      SN:HWTC27779D69         ready
gpon-onu_1/3/6:70   F670T       sn      SN:HWTC29716663         ready
gpon-onu_1/3/6:71   F670T       sn      SN:HWTC29765F7A         ready
gpon-onu_1/3/6:72   F670T       sn      SN:ZTEGC44F6359         ready
gpon-onu_1/3/6:73   F670T       sn      SN:ZTEGCCE031AE         ready
gpon-onu_1/3/6:74   F670T       sn      SN:ZTEGCE492ABC         ready
gpon-onu_1/3/6:75   F670T       sn      SN:ZTEGD4A865AA         ready
gpon-onu_1/3/6:76   F670T       sn      SN:HWTC2776AD64         ready
gpon-onu_1/3/6:77   F670T       sn      SN:ZTEGD101414E         ready
gpon-onu_1/3/6:78   F670T       sn      SN:ZTEGC4ECD466         ready
gpon-onu_1/3/6:79   F670T       sn      SN:HWTC27801856         ready
ZXAN#
