
OnuIndex               OnlineStatus  OamStatus   RegMac    
--------------------------------------------------------------------
epon-onu_1/4/2:1       Online       complete     08:79:8C:63:A7:6A      
epon-onu_1/4/2:2       Online       complete     08:79:8C:70:BF:EE      
epon-onu_1/4/2:3       Online       complete     00:2E:C7:6B:E8:D4      
epon-onu_1/4/2:4       Online       complete     08:93:56:30:04:28      
epon-onu_1/4/2:5       Online       complete     08:93:56:A7:24:2C      
epon-onu_1/4/2:6       Online       complete     08:93:56:A7:5A:3A      
epon-onu_1/4/2:7       Online       complete     14:79:F3:31:C8:20      
epon-onu_1/4/2:8       Online       complete     24:91:BB:3C:E2:10      
epon-onu_1/4/2:9       Online       complete     54:DF:24:26:D7:E5      
epon-onu_1/4/2:10      Online       complete     68:4A:AE:BC:03:FF      
epon-onu_1/4/2:11      Online       complete     88:86:03:00:2B:FC      
epon-onu_1/4/2:12      Online       complete     A4:BD:C4:55:97:85      
epon-onu_1/4/2:13      Online       complete     88:66:39:7F:1A:0F      
epon-onu_1/4/2:14      Online       complete     D4:7E:A8:C7:F3:DB      
epon-onu_1/4/2:15      Online       complete     D4:D5:1B:22:45:4D      
epon-onu_1/4/2:16      Online       complete     D4:7E:A8:FE:70:89      
epon-onu_1/4/2:17      Online       complete     F4:DE:AF:C5:49:24      
epon-onu_1/4/2:18      Online       complete     F8:6C:E1:87:29:E4      
epon-onu_1/4/2:19      Online       complete     F8:6E:EE:C0:B3:18      
epon-onu_1/4/2:20      Online       complete     04:E7:95:DB:5C:33      
epon-onu_1/4/2:21      Online       complete     14:AB:02:A8:EB:58      
epon-onu_1/4/2:22      Online       complete     08:93:56:2F:B1:26      
epon-onu_1/4/2:23      Online       complete     24:91:BB:7B:13:7C      
epon-onu_1/4/2:24      Online       complete     28:68:D2:95:E0:2E      
epon-onu_1/4/2:25      Online       complete     30:C5:0F:BD:14:A3      
epon-onu_1/4/2:26      Online       complete     44:E9:68:C2:FE:1D      
epon-onu_1/4/2:27      Online       complete     58:25:75:95:58:E4      
epon-onu_1/4/2:28      Online       complete     90:3F:EA:C3:B6:DD      
epon-onu_1/4/2:29      Online       complete     90:3F:EA:C9:3F:71      
epon-onu_1/4/2:30      Online       complete     A4:7C:C9:0C:7D:53      
epon-onu_1/4/2:31      Online       complete     A4:7C:C9:0C:7D:A8      
epon-onu_1/4/2:32      Online       complete     A4:7C:C9:0C:80:0C      
epon-onu_1/4/2:33      Online       complete     A4:7C:C9:12:31:F9      
epon-onu_1/4/2:34      Online       complete     A4:BE:2B:28:C8:34      
epon-onu_1/4/2:35      Online       complete     B0:76:1B:10:4D:ED      
epon-onu_1/4/2:36      Online       complete     B8:E3:B1:96:4E:E6      
epon-onu_1/4/2:37      Online       complete     C4:B8:B4:25:05:89      
epon-onu_1/4/2:38      Online       complete     C4:FF:1F:56:B2:DE      
epon-onu_1/4/2:39      Online       complete     D4:46:49:F9:81:F1      
epon-onu_1/4/2:40      Online       complete     D4:7E:A8:CB:19:38      
epon-onu_1/4/2:41      Online       complete     E4:83:26:E9:68:07      
epon-onu_1/4/2:42      Online       complete     D4:46:49:F9:89:61      
ONU Number: 42/42      
ZXAN#
