
OnuIndex               OnlineStatus  OamStatus   RegMac    
--------------------------------------------------------------------
epon-onu_1/4/4:1       Online       complete     24:91:BB:3C:B7:C3      
epon-onu_1/4/4:2       Online       complete     14:57:9F:F1:89:8E      
epon-onu_1/4/4:3       Online       complete     08:93:56:30:06:15      
epon-onu_1/4/4:4       Online       complete     24:91:BB:3C:E2:21      
epon-onu_1/4/4:5       Online       complete     24:91:BB:3F:40:D1      
epon-onu_1/4/4:6       Online       complete     24:91:BB:75:16:3B      
epon-onu_1/4/4:7       Online       complete     24:91:BB:E4:E4:D3      
epon-onu_1/4/4:8       Online       complete     24:91:BB:E5:A0:17      
epon-onu_1/4/4:9       Online       complete     30:C5:0F:77:12:57      
epon-onu_1/4/4:10      Online       complete     30:E9:8E:35:B4:5D      
epon-onu_1/4/4:11      Online       complete     48:2C:D0:9B:78:24      
epon-onu_1/4/4:12      Online       complete     34:0A:98:7B:EA:AA      
epon-onu_1/4/4:13      Online       complete     44:E9:68:86:08:A2      
epon-onu_1/4/4:14      Online       complete     48:57:02:62:CE:A5      
epon-onu_1/4/4:15      Online       complete     48:57:02:F1:A4:E4      
epon-onu_1/4/4:16      Online       complete     48:F8:DB:42:43:16      
epon-onu_1/4/4:17      Online       complete     64:5E:10:0E:87:DD      
epon-onu_1/4/4:18      Online       complete     6C:16:32:C9:2B:F4      
epon-onu_1/4/4:19      Online       complete     70:8C:B6:E4:6B:8D      
epon-onu_1/4/4:20      Online       complete     80:B5:75:3F:49:E5      
epon-onu_1/4/4:21      Online       complete     90:17:3F:30:33:E5      
epon-onu_1/4/4:22      Online       complete     8C:5F:AD:AA:E4:AC      
epon-onu_1/4/4:23      Online       complete     88:66:39:5B:5D:37      
epon-onu_1/4/4:24      Online       complete     90:17:3F:EA:CA:62      
epon-onu_1/4/4:25      Online       complete     94:B2:71:63:F4:93      
epon-onu_1/4/4:26      Online       complete     94:B2:71:64:C8:F1      
epon-onu_1/4/4:27      Online       complete     B4:E4:6B:6A:4D:14      
epon-onu_1/4/4:28      Online       complete     A4:BD:C4:51:ED:CC      
epon-onu_1/4/4:29      Online       complete     B4:E4:6B:62:B8:C0      
epon-onu_1/4/4:30      Online       complete     B4:E4:6B:65:43:13      
epon-onu_1/4/4:31      Online       complete     CC:B1:82:89:9F:72      
epon-onu_1/4/4:32      Online       complete     B8:E3:B1:96:0A:5E      
epon-onu_1/4/4:33      Online       complete     B4:E4:6B:8E:80:AE      
epon-onu_1/4/4:34      Online       complete     D4:4F:67:C2:D0:F0      
epon-onu_1/4/4:35      Online       complete     D4:7E:A8:90:F6:7B      
epon-onu_1/4/4:36      Online       complete     DC:99:14:11:8E:C3      
epon-onu_1/4/4:37      Online       complete     F4:B7:8D:0D:35:5E      
epon-onu_1/4/4:38      Online       complete     F4:B7:8D:44:23:66      
epon-onu_1/4/4:39      Online       complete     FC:1B:D1:75:A6:69      
epon-onu_1/4/4:40      Online       complete     08:93:56:73:8A:04      
epon-onu_1/4/4:41      Online       complete     24:91:BB:3F:41:F2      
epon-onu_1/4/4:42      Online       complete     24:91:BB:74:B3:6B      
epon-onu_1/4/4:43      Online       complete     30:C5:0F:77:AC:56      
epon-onu_1/4/4:44      Online       complete     44:E9:68:65:3F:E3      
epon-onu_1/4/4:45      Online       complete     48:F8:DB:40:B5:0C      
epon-onu_1/4/4:46      Online       complete     64:5E:10:05:57:E7      
epon-onu_1/4/4:47      Online       complete     8C:E5:EF:46:B1:49      
epon-onu_1/4/4:48      Online       complete     94:25:33:B5:A5:D0      
epon-onu_1/4/4:49      Online       complete     A4:BE:2B:2A:8F:05      
epon-onu_1/4/4:50      Online       complete     F4:E5:F2:BA:28:D3      
ONU Number: 50/50      
ZXAN#
