
Total mac address : 1520

Mac address      Vlan  Type      Port	                  Vc                      
F8:6C:E1:84:5B:28   100   Dynamic   gpon-onu_1/3/2:70        vport 1  
B4:E4:6B:90:8A:65   100   Dynamic   gpon-onu_1/3/2:71        vport 1  
F8:64:B8:B6:70:52   100   Dynamic   gpon-onu_1/3/2:72        vport 1  
5C:3A:3D:ED:AD:94   100   Dynamic   gpon-onu_1/3/2:73        vport 1  
5C:3A:3D:E6:47:3A   100   Dynamic   gpon-onu_1/3/2:74        vport 1  
5C:3A:3D:F6:26:10   100   Dynamic   gpon-onu_1/3/2:75        vport 1  
98:00:6A:86:F7:50   100   Dynamic   gpon-onu_1/3/2:76        vport 1  
34:36:54:A4:FD:E8   100   Dynamic   gpon-onu_1/3/2:77        vport 1  
34:36:54:98:B2:C2   100   Dynamic   gpon-onu_1/3/2:78        vport 1  
98:00:6A:5D:DB:0E   100   Dynamic   gpon-onu_1/3/2:79        vport 1  
FC:40:09:EF:35:2E   100   Dynamic   gpon-onu_1/3/2:80        vport 1  
FC:40:09:EF:9F:90   100   Dynamic   gpon-onu_1/3/2:81        vport 1  
C0:94:AD:22:97:22   100   Dynamic   gpon-onu_1/3/2:82        vport 1  
D0:F9:9B:42:08:90   100   Dynamic   gpon-onu_1/3/2:83        vport 1  
30:40:74:8F:F4:2E   100   Dynamic   gpon-onu_1/3/2:84        vport 1  
14:79:F3:0A:46:99   100   Dynamic   gpon-onu_1/3/2:85        vport 1  
B4:E4:6B:83:1E:92   100   Dynamic   gpon-onu_1/3/2:86        vport 1  
9A:8C:1A:4C:2B:D9   100   Dynamic   gpon-onu_1/3/2:87        vport 1  
EC:82:63:8A:6E:D2   100   Dynamic   gpon-onu_1/3/2:89        vport 1  
28:FF:3E:76:18:A8   100   Dynamic   gpon-onu_1/3/2:90        vport 1  
44:A3:C7:1E:1A:1A   100   Dynamic   gpon-onu_1/3/2:91        vport 1  
5C:3A:3D:E7:26:EA   100   Dynamic   gpon-onu_1/3/2:93        vport 1  
A0:09:2E:3A:DE:DF   100   Dynamic   gpon-onu_1/3/2:94        vport 1  
AC:AD:4B:3E:8F:96   100   Dynamic   gpon-onu_1/3/2:95        vport 1  
E0:19:54:FD:99:3B   100   Dynamic   gpon-onu_1/3/2:96        vport 1  
98:00:6A:85:24:40   100   Dynamic   gpon-onu_1/3/2:97        vport 1  
5C:3A:3D:F4:1D:F0   100   Dynamic   gpon-onu_1/3/2:98        vport 1  
98:00:6A:89:84:A8   100   Dynamic   gpon-onu_1/3/2:99        vport 1  
FC:40:09:04:49:88   100   Dynamic   gpon-onu_1/3/2:100       vport 1  
FC:40:09:FB:1C:B9   100   Dynamic   gpon-onu_1/3/2:102       vport 1  
FC:40:09:FB:E9:C1   100   Dynamic   gpon-onu_1/3/2:103       vport 1  
B4:E4:6B:71:07:0B   100   Dynamic   gpon-onu_1/3/2:104       vport 1  
D4:7E:A8:16:02:F8   100   Dynamic   gpon-onu_1/3/3:1         vport 1  
B4:E4:6B:79:52:C3   100   Dynamic   gpon-onu_1/3/3:4         vport 1  
B4:E4:6B:76:CE:9A   100   Dynamic   gpon-onu_1/3/3:5         vport 1  
E0:19:54:F9:E2:77   100   Dynamic   gpon-onu_1/3/3:7         vport 1  
E0:19:54:E3:A8:9C   100   Dynamic   gpon-onu_1/3/3:8         vport 1  
5C:3A:3D:F6:4D:58   100   Dynamic   gpon-onu_1/3/3:9         vport 1  
34:36:54:97:A0:FC   100   Dynamic   gpon-onu_1/3/3:10        vport 1  
34:24:3E:26:2E:6E   100   Dynamic   gpon-onu_1/3/3:11        vport 1  
FC:40:09:EF:53:58   100   Dynamic   gpon-onu_1/3/3:12        vport 1  
08:15:AE:B1:8E:29   100   Dynamic   gpon-onu_1/3/3:13        vport 1  
B4:E4:6B:6D:6C:7C   100   Dynamic   gpon-onu_1/3/3:14        vport 1  
B4:E4:6B:76:C9:A1   100   Dynamic   gpon-onu_1/3/3:15        vport 1  
9A:8C:1A:20:3D:B6   100   Dynamic   gpon-onu_1/3/3:16        vport 1  
B4:E4:6B:7C:9B:A9   100   Dynamic   gpon-onu_1/3/3:17        vport 1  
F8:64:B8:ED:A1:A9   100   Dynamic   gpon-onu_1/3/3:18        vport 1  
F4:2D:06:C6:45:EA   100   Dynamic   gpon-onu_1/3/3:19        vport 1  
B4:E4:6B:8B:95:CB   100   Dynamic   gpon-onu_1/3/3:20        vport 1  
B4:E4:6B:79:16:F0   100   Dynamic   gpon-onu_1/3/3:21        vport 1  
98:00:6A:86:00:24   100   Dynamic   gpon-onu_1/3/3:22        vport 1  
98:00:6A:8E:C0:A6   100   Dynamic   gpon-onu_1/3/3:23        vport 1  
34:36:54:AC:C3:74   100   Dynamic   gpon-onu_1/3/3:24        vport 1  
D4:7E:A8:B5:D2:C1   100   Dynamic   gpon-onu_1/3/4:1         vport 1  
6C:0F:0B:3D:75:F9   100   Dynamic   gpon-onu_1/3/4:2         vport 1  
D4:7E:A8:2E:3D:FC   100   Dynamic   gpon-onu_1/3/4:3         vport 1  
F8:6C:E1:8B:66:A9   100   Dynamic   gpon-onu_1/3/4:4         vport 1  
28:68:D2:7F:6E:62   100   Dynamic   gpon-onu_1/3/4:5         vport 1  
08:93:56:0D:BE:6B   100   Dynamic   gpon-onu_1/3/4:6         vport 1  
A4:BD:C4:52:14:84   100   Dynamic   gpon-onu_1/3/4:7         vport 1  
