
OnuIndex            Type        Mode    AuthInfo                State
-------------------------------------------------------------------------------
gpon-onu_1/3/2:1    F670T       sn      SN:CMDCA217C47C         ready
gpon-onu_1/3/2:2    F670T       sn      SN:HWTC2781A7E0         ready
gpon-onu_1/3/2:3    F670T       sn      SN:CMDCB00AB4A0         ready
gpon-onu_1/3/2:4    F670T       sn      SN:HWTC8794FFA7         ready
gpon-onu_1/3/2:5    F670T       sn      SN:ZTEGC4B557E3         ready
gpon-onu_1/3/2:6    F670T       sn      SN:ZTEGC43421CD         ready
gpon-onu_1/3/2:7    F670T       sn      SN:ZTEGC4EC1E0D         ready
gpon-onu_1/3/2:8    F670T       sn      SN:ZTEGCE48AAF8         ready
gpon-onu_1/3/2:9    F670T       sn      SN:ZTEGCE58465D         ready
gpon-onu_1/3/2:10   F670T       sn      SN:ZTEGCF2B58CC         ready
gpon-onu_1/3/2:11   F670T       sn      SN:HWTC7F1D62A7         ready
gpon-onu_1/3/2:12   F670T       sn      SN:HWTCE0FDBFA5         ready
gpon-onu_1/3/2:13   F670T       sn      SN:CMDCB00A8645         ready
gpon-onu_1/3/2:14   F670T       sn      SN:ZICG15310085         ready
gpon-onu_1/3/2:15   F670T       sn      SN:ZTEGC4B92512         ready
gpon-onu_1/3/2:16   F670T       sn      SN:ZTEGC44642CE         ready
gpon-onu_1/3/2:17   F670T       sn      SN:ZTEGC4EA406C         ready
gpon-onu_1/3/2:18   F670T       sn      SN:ZTEGC4EBE877         ready
gpon-onu_1/3/2:19   F670T       sn      SN:ZTEGC4ECCB0E         ready
gpon-onu_1/3/2:20   F670T       sn      SN:ZTEGCCE0A96F         ready
gpon-onu_1/3/2:21   F670T       sn      SN:ZTEGCE48DBCD         ready
gpon-onu_1/3/2:22   F670T       sn      SN:ZTEGCE474173         ready
gpon-onu_1/3/2:23   F670T       sn      SN:ZTEGCE448091         ready
gpon-onu_1/3/2:24   F670T       sn      SN:ZTEGCE586DB7         ready
gpon-onu_1/3/2:25   F670T       sn      SN:ZTEGCE5A6AB2         ready
gpon-onu_1/3/2:26   F670T       sn      SN:ZTEGCE809CC5         ready
gpon-onu_1/3/2:27   F670T       sn      SN:ZTEGCE809FBC         ready
gpon-onu_1/3/2:28   F670T       sn      SN:ZTEGCE8F6CEC         ready
gpon-onu_1/3/2:29   F670T       sn      SN:ZTEGCF266392         ready
gpon-onu_1/3/2:30   F670T       sn      SN:ZTEGCF2B0A48         ready
gpon-onu_1/3/2:31   F670T       sn      SN:ZTEGCF56B7D9         ready
gpon-onu_1/3/2:32   F670T       sn      SN:ZTEGD4A84B1C         ready
gpon-onu_1/3/2:33   F670T       sn      SN:ZTEGC4B91929         ready
gpon-onu_1/3/2:34   F670T       sn      SN:FHTT2038E882         ready
gpon-onu_1/3/2:35   F670T       sn      SN:CMDCA86253C7         ready
gpon-onu_1/3/2:36   F670T       sn      SN:HWTC297D9EC8         ready
gpon-onu_1/3/2:37   F670T       sn      SN:HWTC276B2139         ready
gpon-onu_1/3/2:38   F670T       sn      SN:HWTC29851E27         ready
gpon-onu_1/3/2:39   F670T       sn      SN:HWTC7557B4AB         ready
gpon-onu_1/3/2:40   F980L       sn      SN:SKYW1AB42F05         ready
gpon-onu_1/3/2:41   F670T       sn      SN:ZTEGC433F75A         ready
gpon-onu_1/3/2:42   F670T       sn      SN:ZTEGC433FAF4         ready
gpon-onu_1/3/2:43   F670T       sn      SN:ZTEGC43DAF9C         ready
gpon-onu_1/3/2:44   F670T       sn      SN:ZTEGC4B873EB         ready
gpon-onu_1/3/2:45   F670T       sn      SN:ZTEGC4B91A84         ready
gpon-onu_1/3/2:46   F670T       sn      SN:ZTEGC4B91CF5         ready
gpon-onu_1/3/2:47   F670T       sn      SN:ZTEGC4EA64DC         ready
gpon-onu_1/3/2:48   F670T       sn      SN:ZTEGC4EA8440         ready
gpon-onu_1/3/2:49   F670T       sn      SN:ZTEGC4EC0C0F         ready
gpon-onu_1/3/2:50   F670T       sn      SN:ZTEGC4EEBB1E         ready
gpon-onu_1/3/2:51   F670T       sn      SN:ZTEGC4EFA12F         ready
gpon-onu_1/3/2:52   F670T       sn      SN:ZTEGCCE03ECF         ready
gpon-onu_1/3/2:53   F670T       sn      SN:ZTEGCE46E690         ready
gpon-onu_1/3/2:54   F670T       sn      SN:ZTEGCCE08DFE         ready
gpon-onu_1/3/2:55   F670T       sn      SN:ZTEGCE46F31A         ready
gpon-onu_1/3/2:56   F670T       sn      SN:ZTEGCE486BEF         ready
gpon-onu_1/3/2:57   F670T       sn      SN:ZTEGCE48B81B         ready
gpon-onu_1/3/2:58   F670T       sn      SN:ZTEGCE48BEED         ready
gpon-onu_1/3/2:59   F670T       sn      SN:ZTEGCE5884D4         ready
gpon-onu_1/3/2:60   F670T       sn      SN:ZTEGCE5A51CF         ready
gpon-onu_1/3/2:61   F670T       sn      SN:ZTEGCE809D33         ready
gpon-onu_1/3/2:62   F670T       sn      SN:ZTEGCE809E4D         ready
gpon-onu_1/3/2:63   F670T       sn      SN:ZTEGCF2679AF         ready
gpon-onu_1/3/2:64   F670T       sn      SN:ZTEGCF56E4B6         ready
gpon-onu_1/3/2:65   F670T       sn      SN:ZTEGCF56BD98         ready
gpon-onu_1/3/2:66   F670T       sn      SN:ZTEGD4A86E94         ready
gpon-onu_1/3/2:67   F670T       sn      SN:CMDCB00AD937         ready
gpon-onu_1/3/2:68   F670T       sn      SN:GMEGC2126538         ready
gpon-onu_1/3/2:69   F670T       sn      SN:CMDCA85D768F         ready
gpon-onu_1/3/2:70   F670T       sn      SN:HWTC29845B28         ready
gpon-onu_1/3/2:71   F670T       sn      SN:HWTC27908A65         ready
gpon-onu_1/3/2:72   F670T       sn      SN:ZTEGC443078A         ready
gpon-onu_1/3/2:73   F670T       sn      SN:ZTEGC4EB7D36         ready
gpon-onu_1/3/2:74   F670T       sn      SN:ZTEGC4EA415B         ready
gpon-onu_1/3/2:75   F670T       sn      SN:ZTEGC4ECE6A0         ready
gpon-onu_1/3/2:76   F670T       sn      SN:ZTEGC4EFB42A         ready
gpon-onu_1/3/2:77   F670T       sn      SN:ZTEGCE472EDA         ready
gpon-onu_1/3/2:78   F670T       sn      SN:ZTEGCE45103C         ready
gpon-onu_1/3/2:79   F670T       sn      SN:ZTEGC8EC515A         ready
gpon-onu_1/3/2:80   F670T       sn      SN:ZTEGCE583502         ready
gpon-onu_1/3/2:81   F670T       sn      SN:ZTEGCE5846BD         ready
gpon-onu_1/3/2:82   F670T       sn      SN:ZTEGCE809E5B         ready
gpon-onu_1/3/2:83   F670T       sn      SN:ZTEGCFD5E7DB         ready
gpon-onu_1/3/2:84   F670T       sn      SN:ZTEGD5D4DABD         ready
gpon-onu_1/3/2:85   F670T       sn      SN:GMEGC20A4698         ready
gpon-onu_1/3/2:86   F670T       sn      SN:HWTC27831E92         ready
gpon-onu_1/3/2:87   F980L       sn      SN:SKYW1A4C2BD9         ready
gpon-onu_1/3/2:88   F670T       sn      SN:ZTEGC4E728EF         ready
gpon-onu_1/3/2:89   F670T       sn      SN:ZTEGC9C091A0         ready
gpon-onu_1/3/2:90   F670T       sn      SN:ZTEGC4E78EEE         ready
gpon-onu_1/3/2:91   F670T       sn      SN:ZTEGD6D0237B         ready
gpon-onu_1/3/2:92   F670T       sn      SN:ZTEGCE48C0B7         ready
gpon-onu_1/3/2:93   F670T       sn      SN:ZTEGC4EA66A3         ready
gpon-onu_1/3/2:94   F670T       sn      SN:ZTEGD1B0A8E0         ready
gpon-onu_1/3/2:95   F670T       sn      SN:ZTEGD479C9C1         ready
gpon-onu_1/3/2:96   F670T       sn      SN:ZTEGC4B8F9A3         ready
gpon-onu_1/3/2:97   F670T       sn      SN:ZTEGC4EF6652         ready
gpon-onu_1/3/2:98   F670T       sn      SN:ZTEGC4EC8FF0         ready
gpon-onu_1/3/2:99   F670T       sn      SN:ZTEGCCE0210E         ready
gpon-onu_1/3/2:100  F670T       sn      SN:ZTEGCF2041D0         ready
gpon-onu_1/3/2:101  F670T       sn      SN:ZTEGCCE02970         ready
gpon-onu_1/3/2:102  F670T       sn      SN:ZTEGCE5A62D7         ready
gpon-onu_1/3/2:103  F670T       sn      SN:ZTEGCE5A8503         ready
gpon-onu_1/3/2:104  F670T       sn      SN:HWTC2771070B         ready
gpon-onu_1/3/2:105  F670T       sn      SN:ZTEGC4403BCA         ready
gpon-onu_1/3/2:114  F670T       sn      SN:ZTEGC8C44D61         ready
ZXAN#
