
OnuIndex            Type        Mode    AuthInfo                State
-------------------------------------------------------------------------------
gpon-onu_1/6/2:1    F670T       sn      SN:CMDCB00A553D         ready
gpon-onu_1/6/2:2    F670T       sn      SN:GMEGC23B8D28         ready
gpon-onu_1/6/2:3    F670T       sn      SN:HWTC241CB49D         ready
gpon-onu_1/6/2:4    F670T       sn      SN:HWTC275B9AC0         ready
gpon-onu_1/6/2:5    F670T       sn      SN:HWTC277725FC         ready
gpon-onu_1/6/2:6    F670T       sn      SN:HWTC2762DD8A         ready
gpon-onu_1/6/2:7    F670T       sn      SN:HWTC2790499D         ready
gpon-onu_1/6/2:8    F670T       sn      SN:HWTC27829039         ready
gpon-onu_1/6/2:9    F670T       sn      SN:HWTC2967D60B         ready
gpon-onu_1/6/2:10   F670T       sn      SN:HWTC6B118C9D         ready
gpon-onu_1/6/2:11   F670T       sn      SN:HWTC75C6C6A6         ready
gpon-onu_1/6/2:12   F670T       sn      SN:HWTCBD47B5A6         ready
gpon-onu_1/6/2:13   F980L       sn      SN:SKYW1A30E17C         ready
gpon-onu_1/6/2:14   F670T       sn      SN:ZTEGC43DA80E         ready
gpon-onu_1/6/2:15   F670T       sn      SN:ZTEGC43DABCA         ready
gpon-onu_1/6/2:16   F980L       sn      SN:SKYW1ABE087F         ready
gpon-onu_1/6/2:17   F670T       sn      SN:ZTEGC43DAC54         ready
gpon-onu_1/6/2:18   F670T       sn      SN:ZTEGC43DAD1A         ready
gpon-onu_1/6/2:19   F670T       sn      SN:ZTEGC43DAF3C         ready
gpon-onu_1/6/2:20   F670T       sn      SN:ZTEGC444C556         ready
gpon-onu_1/6/2:21   F670T       sn      SN:ZTEGC4B8F617         ready
gpon-onu_1/6/2:22   F670T       sn      SN:ZTEGC4460439         ready
gpon-onu_1/6/2:23   F670T       sn      SN:ZTEGC4EA9F15         ready
gpon-onu_1/6/2:24   F670T       sn      SN:ZTEGC4EC081D         ready
gpon-onu_1/6/2:25   F670T       sn      SN:ZTEGC4EAA2C3         ready
gpon-onu_1/6/2:26   F670T       sn      SN:ZTEGC4EC1592         ready
gpon-onu_1/6/2:27   F670T       sn      SN:ZTEGC4EEA0CB         ready
gpon-onu_1/6/2:28   F670T       sn      SN:ZTEGC4ECEAD1         ready
gpon-onu_1/6/2:29   F670T       sn      SN:ZTEGC4EF5D3C         ready
gpon-onu_1/6/2:30   F670T       sn      SN:ZTEGC8CC218A         ready
gpon-onu_1/6/2:31   F670T       sn      SN:ZTEGC4EFBC58         ready
gpon-onu_1/6/2:32   F670T       sn      SN:ZTEGC8E3261A         ready
gpon-onu_1/6/2:33   F670T       sn      SN:ZTEGC8EC55A8         ready
gpon-onu_1/6/2:34   F670T       sn      SN:ZTEGC8ED08A7         ready
gpon-onu_1/6/2:35   F670T       sn      SN:ZTEGC9C1ADC6         ready
gpon-onu_1/6/2:36   F670T       sn      SN:ZTEGC9E29D4D         ready
gpon-onu_1/6/2:37   F670T       sn      SN:ZTEGCCE07EE9         ready
gpon-onu_1/6/2:38   F670T       sn      SN:ZTEGCCE080B0         ready
gpon-onu_1/6/2:39   F670T       sn      SN:ZTEGCCE09B24         ready
gpon-onu_1/6/2:40   F670T       sn      SN:ZTEGCCE0D929         ready
gpon-onu_1/6/2:41   F670T       sn      SN:ZTEGCCE1D553         ready
gpon-onu_1/6/2:42   F670T       sn      SN:ZTEGCE46E2E0         ready
gpon-onu_1/6/2:43   F670T       sn      SN:ZTEGCE471987         ready
gpon-onu_1/6/2:44   F670T       sn      SN:ZTEGCE474F3E         ready
gpon-onu_1/6/2:45   F670T       sn      SN:ZTEGCE474D78         ready
gpon-onu_1/6/2:46   F670T       sn      SN:ZTEGCE47484E         ready
gpon-onu_1/6/2:47   F670T       sn      SN:ZTEGCE4885B6         ready
gpon-onu_1/6/2:48   F670T       sn      SN:ZTEGCE491437         ready
gpon-onu_1/6/2:49   F670T       sn      SN:ZTEGCE585389         ready
gpon-onu_1/6/2:50   F670T       sn      SN:ZTEGCE58AB1B         ready
gpon-onu_1/6/2:51   F670T       sn      SN:ZTEGCE5A2FD4         ready
gpon-onu_1/6/2:52   F670T       sn      SN:ZTEGCE8096B5         ready
gpon-onu_1/6/2:53   F670T       sn      SN:ZTEGCE809A96         ready
gpon-onu_1/6/2:54   F670T       sn      SN:ZTEGCE8FB07A         ready
gpon-onu_1/6/2:55   F670T       sn      SN:ZTEGCE8F7376         ready
gpon-onu_1/6/2:56   F670T       sn      SN:ZTEGCE80A3DB         ready
gpon-onu_1/6/2:57   F670T       sn      SN:ZTEGCF2049D6         ready
gpon-onu_1/6/2:58   F670T       sn      SN:ZTEGCF204F2E         ready
gpon-onu_1/6/2:59   F670T       sn      SN:ZTEGCF56B271         ready
gpon-onu_1/6/2:60   F670T       sn      SN:ZTEGCF56C3C3         ready
gpon-onu_1/6/2:61   F670T       sn      SN:ZTEGD101363D         ready
gpon-onu_1/6/2:62   F670T       sn      SN:HWTC53DC22AF         ready
