
OnuIndex            Type        Mode    AuthInfo                State
-------------------------------------------------------------------------------
gpon-onu_1/3/4:1    F670T       sn      SN:CMDCA8B5D2C1         ready
gpon-onu_1/3/4:2    F670T       sn      SN:CMDCA44D0CD0         ready
gpon-onu_1/3/4:3    F670T       sn      SN:CMDCA82E3DFC         ready
gpon-onu_1/3/4:4    F670T       sn      SN:HWTC298B66A9         ready
gpon-onu_1/3/4:5    F670T       sn      SN:HWTC057DB9A7         ready
gpon-onu_1/3/4:6    F670T       sn      SN:HWTC4A6875A9         ready
gpon-onu_1/3/4:7    F670T       sn      SN:HWTC9ABD4BA5         ready
gpon-onu_1/3/4:8    F670T       sn      SN:HWTC4EC4F2B2         ready
gpon-onu_1/3/4:9    F670T       sn      SN:HWTCBF5162B0         ready
gpon-onu_1/3/4:10   F670T       sn      SN:HWTCC061DFB1         ready
gpon-onu_1/3/4:11   F670T       sn      SN:ZTEGC4B92CE0         ready
gpon-onu_1/3/4:12   F670T       sn      SN:ZTEGC4EA566B         ready
gpon-onu_1/3/4:13   F670T       sn      SN:SKYW1A014B65         ready
gpon-onu_1/3/4:14   F670T       sn      SN:ZTEGC4ED14B7         ready
gpon-onu_1/3/4:15   F670T       sn      SN:ZTEGC4EC7554         ready
gpon-onu_1/3/4:16   F670T       sn      SN:ZTEGC4EE858B         ready
gpon-onu_1/3/4:17   F670T       sn      SN:ZTEGC4EFE51A         ready
gpon-onu_1/3/4:18   F670T       sn      SN:ZTEGC4EF81FF         ready
gpon-onu_1/3/4:19   F670T       sn      SN:ZTEGC9C58E7E         ready
gpon-onu_1/3/4:20   F670T       sn      SN:ZTEGCF2B8A48         ready
gpon-onu_1/3/4:21   F670T       sn      SN:CMDCB00A158C         ready
gpon-onu_1/3/4:22   F670T       sn      SN:HWTC276C3B60         ready
gpon-onu_1/3/4:23   F670T       sn      SN:CMDCB00A2EDC         ready
gpon-onu_1/3/4:24   F670T       sn      SN:HWTC2779B04E         ready
gpon-onu_1/3/4:25   F670T       sn      SN:HWTC2781384E         ready
gpon-onu_1/3/4:26   F670T       sn      SN:HWTC2785397D         ready
gpon-onu_1/3/4:27   F670T       sn      SN:HWTC4B0EAFAC         ready
gpon-onu_1/3/4:28   F670T       sn      SN:HWTC27866F78         ready
gpon-onu_1/3/4:29   F670T       sn      SN:HWTC627C6BB1         ready
gpon-onu_1/3/4:30   F980L       sn      SN:SKYW1A2E1DA6         ready
gpon-onu_1/3/4:31   F670T       sn      SN:ZTEGC4454916         ready
gpon-onu_1/3/4:32   F980L       sn      SN:SKYW1AB27496         ready
gpon-onu_1/3/4:33   F670T       sn      SN:ZTEGC43422E4         ready
gpon-onu_1/3/4:34   F670T       sn      SN:ZTEGC4EC209F         ready
gpon-onu_1/3/4:35   F670T       sn      SN:ZTEGC4464173         ready
gpon-onu_1/3/4:36   F670T       sn      SN:ZTEGC4EFA635         ready
gpon-onu_1/3/4:37   F670T       sn      SN:ZTEGCCE004ED         ready
gpon-onu_1/3/4:38   F670T       sn      SN:ZTEGCE447714         ready
gpon-onu_1/3/4:39   F670T       sn      SN:ZTEGCE46F7CE         ready
gpon-onu_1/3/4:40   F670T       sn      SN:ZTEGCE48EE7F         ready
gpon-onu_1/3/4:41   F670T       sn      SN:ZTEGCF56D610         ready
gpon-onu_1/3/4:42   F670T       sn      SN:ZTEGCF20BCD9         ready
gpon-onu_1/3/4:43   F670T       sn      SN:CMDCA8D81F0C         ready
gpon-onu_1/3/4:44   F670T       sn      SN:CMDCB00A9DA4         ready
gpon-onu_1/3/4:45   F670T       sn      SN:HWTC2765546F         ready
gpon-onu_1/3/4:46   F670T       sn      SN:HWTC276F3748         ready
gpon-onu_1/3/4:47   F670T       sn      SN:HWTC298BA712         ready
gpon-onu_1/3/4:48   F670T       sn      SN:HWTC299091E9         ready
gpon-onu_1/3/4:49   F670T       sn      SN:ZTEGC43DA67B         ready
gpon-onu_1/3/4:50   F670T       sn      SN:ZTEGD47A1C5B         ready
gpon-onu_1/3/4:51   F670T       sn      SN:ZTEGCE489B70         ready
gpon-onu_1/3/4:52   F670T       sn      SN:ZTEGCE44C27F         ready
gpon-onu_1/3/4:53   F670T       sn      SN:HWTC278FCCFB         ready
gpon-onu_1/3/4:54   F670T       sn      SN:CMDCB00A8E6A         ready
gpon-onu_1/3/4:55   F670T       sn      SN:ZTEGC442EB57         ready
gpon-onu_1/3/4:56   F670T       sn      SN:HWTC2768CBF8         ready
gpon-onu_1/3/4:57   F670T       sn      SN:HWTC277334D8         ready
ZXAN#
