
OnuIndex               OnlineStatus  OamStatus   RegMac    
--------------------------------------------------------------------
epon-onu_1/5/2:1       Online       complete     08:93:56:75:77:59      
epon-onu_1/5/2:2       Online       complete     04:E7:95:DC:17:00      
epon-onu_1/5/2:3       Online       complete     18:02:2D:D2:69:6C      
epon-onu_1/5/2:4       Online       complete     24:91:BB:3A:11:5B      
epon-onu_1/5/2:5       Online       complete     24:91:BB:3F:3C:C4      
epon-onu_1/5/2:6       Online       complete     24:91:BB:3F:40:49      
epon-onu_1/5/2:7       Online       complete     28:68:D2:BF:3E:31      
epon-onu_1/5/2:8       Online       complete     30:C5:0F:D8:69:75      
epon-onu_1/5/2:9       Online       complete     30:C5:0F:D8:9E:EA      
epon-onu_1/5/2:10      Power Off    idle         00:00:00:00:00:00      
epon-onu_1/5/2:11      Online       complete     54:DF:24:4C:A6:48      
epon-onu_1/5/2:12      Online       complete     68:4A:AE:E8:D2:65      
epon-onu_1/5/2:13      Online       complete     60:12:3C:F0:E9:D1      
epon-onu_1/5/2:14      Online       complete     6C:16:32:8F:B8:7A      
epon-onu_1/5/2:15      Online       complete     70:8C:B6:E4:CE:18      
epon-onu_1/5/2:16      Online       complete     78:57:73:61:BE:1F      
epon-onu_1/5/2:17      Online       complete     80:E1:BF:27:A8:80      
epon-onu_1/5/2:18      Online       complete     90:3F:EA:B2:3D:9D      
epon-onu_1/5/2:19      Online       complete     90:3F:EA:C4:BF:07      
epon-onu_1/5/2:20      Online       complete     94:00:B0:D9:C9:5D      
epon-onu_1/5/2:21      Online       complete     94:FF:61:C3:E6:D9      
epon-onu_1/5/2:22      Online       complete     A4:7C:C9:0D:66:22      
epon-onu_1/5/2:23      Online       complete     9A:8C:1A:BC:73:58      
epon-onu_1/5/2:24      Online       complete     A4:BD:C4:FA:D5:C7      
epon-onu_1/5/2:25      Online       complete     B4:6E:08:BB:D6:94      
epon-onu_1/5/2:26      Power Off    idle         00:00:00:00:00:00      
epon-onu_1/5/2:27      Online       complete     B4:E4:6B:6A:DE:A1      
epon-onu_1/5/2:28      Online       complete     B4:E4:6B:71:9D:58      
epon-onu_1/5/2:29      Online       complete     B4:E4:6B:7C:59:BD      
epon-onu_1/5/2:30      Online       complete     B4:E4:6B:85:29:14      
epon-onu_1/5/2:31      Online       complete     CC:BB:FE:FA:C3:8D      
epon-onu_1/5/2:32      Online       complete     C0:F6:C2:9E:C1:D1      
epon-onu_1/5/2:33      Online       complete     B4:E4:6B:85:8F:09      
epon-onu_1/5/2:34      Online       complete     D4:46:49:F9:3A:7D      
epon-onu_1/5/2:35      Online       complete     F8:6C:E1:6A:C5:4E      
epon-onu_1/5/2:36      Online       complete     F8:6C:E1:7D:05:CA      
epon-onu_1/5/2:37      Online       complete     F8:6C:E1:88:79:66      
epon-onu_1/5/2:38      Online       complete     B4:E4:6B:6F:53:58      
ONU Number: 36/38      
ZXAN#
