
OnuIndex               OnlineStatus  OamStatus   RegMac    
--------------------------------------------------------------------
epon-onu_1/4/1:1       Online       complete     28:68:D2:80:05:EB      
epon-onu_1/4/1:2       Online       complete     08:79:8C:70:03:45      
epon-onu_1/4/1:3       Online       complete     04:E7:95:F1:D2:21      
epon-onu_1/4/1:4       Online       complete     28:68:D2:80:08:3E      
epon-onu_1/4/1:5       Online       complete     28:68:D2:96:1F:EE      
epon-onu_1/4/1:6       Online       complete     30:C5:0F:D8:4A:83      
epon-onu_1/4/1:7       Online       complete     34:58:40:99:3E:51      
epon-onu_1/4/1:8       Online       complete     44:E9:68:46:1A:E3      
epon-onu_1/4/1:9       Online       complete     44:E9:68:66:0C:7C      
epon-onu_1/4/1:10      Online       complete     48:57:02:F1:79:ED      
epon-onu_1/4/1:11      Online       complete     58:25:75:73:47:90      
epon-onu_1/4/1:12      Online       complete     50:70:97:48:65:71      
epon-onu_1/4/1:13      Online       complete     5C:64:7A:E7:EF:F9      
epon-onu_1/4/1:14      Online       complete     64:5E:10:0D:F1:DA      
epon-onu_1/4/1:15      Online       complete     68:9F:F0:0C:25:80      
epon-onu_1/4/1:16      Online       complete     6C:16:32:C8:C0:3E      
epon-onu_1/4/1:17      Online       complete     90:16:BA:1C:5D:28      
epon-onu_1/4/1:18      Online       complete     94:25:33:B4:B8:25      
epon-onu_1/4/1:19      Online       complete     94:FF:61:E2:B7:C9      
epon-onu_1/4/1:20      Online       complete     A4:7C:C9:DD:A2:BA      
epon-onu_1/4/1:21      Online       complete     D4:4F:67:E0:A3:05      
epon-onu_1/4/1:22      Online       complete     B0:5C:16:23:BE:E1      
epon-onu_1/4/1:23      Online       complete     A4:BD:C4:56:8C:7E      
epon-onu_1/4/1:24      Online       complete     F8:6C:E1:76:50:94      
epon-onu_1/4/1:25      Online       complete     20:AB:48:0D:1A:38      
epon-onu_1/4/1:26      Online       complete     24:91:BB:3C:55:9D      
epon-onu_1/4/1:27      Online       complete     24:91:BB:E4:EF:FB      
epon-onu_1/4/1:28      Online       complete     30:C5:0F:76:75:4A      
epon-onu_1/4/1:29      Online       complete     30:C5:0F:76:75:B0      
epon-onu_1/4/1:30      Online       complete     30:E9:8E:4F:EB:CA      
epon-onu_1/4/1:31      Online       complete     A4:7C:C9:11:67:6F      
epon-onu_1/4/1:32      Online       complete     CC:B1:82:B6:21:26      
epon-onu_1/4/1:33      Online       complete     CC:B1:82:B7:C6:8F      
epon-onu_1/4/1:34      Online       complete     78:57:73:61:EE:AA      
epon-onu_1/4/1:35      Online       complete     CC:B1:82:B6:61:B2      
ONU Number: 35/35      
ZXAN#
